ien	name	item_text	type	package	entry_action	exit_action
6316	IBT HCSR VIEW PENDING RESPONSE	View Pending Response	A	INTEGRATED BILLING	D EN3^IBTRH3	
6317	IBT HCSR SEND 278 REQUEST SHORT	Send 278 Request Short	A	INTEGRATED BILLING	D EN^IBTRH6	
6318	IBT HCSR RESPONSE IN PROGRESS REM	Remove 'In Progress'	A	INTEGRATED BILLING	D PRMARK^IBTRH1(0,"","IBTRH5IX")	
6319	IBT HCSR RESPONSE IN PROGRESS SET	Set 'In Progress'	A	INTEGRATED BILLING	D PRMARK^IBTRH1(1,"","IBTRH5IX")	
6320	IBT HCSR RESPONSE IN PROGRESS EE REM	Remove 'In Progress'	A	INTEGRATED BILLING	D PRMARK^IBTRH3(0)	
6321	IBT HCSR RESPONSE IN PROGRESS EE SET	Set 'In Progress'	A	INTEGRATED BILLING	D PRMARK^IBTRH3(1)	
6322	IBT HCSR RESPONSE EE SEND278	Send 278 Request	A	INTEGRATED BILLING	D SEND278^IBTRH5(IBTRIEN)	
6323	IBT HCSR RESPONSE LIST DEL	Remove Entry	A	INTEGRATED BILLING	D DEL^IBTRH5	D INIT^IBTRH5
6324	IBJP HCSR CLINIC ADD PAYER	Add Payer to Clinic	A	INTEGRATED BILLING	D ADDPYR^IBJPC3(1)	
6325	IBJP HCSR CLINIC DEL PAYER	Delete Payer from Clinic	A	INTEGRATED BILLING	D DELPYR^IBJPC3(1)	
6326	IBJP HCSR WARD ADD PAYER	Add Payer to Ward	A	INTEGRATED BILLING	D ADDPYR^IBJPC3(2)	
6327	IBJP HCSR WARD DEL PAYER	Delete Payer from Ward	A	INTEGRATED BILLING	D DELPYR^IBJPC3(2)	
6328	IBT HCSR MANUAL 278 REQUEST	Add Entry	A	INTEGRATED BILLING	D EN^IBTRH7	
6329	IBT HCSR VIEW X12 MESSAGE	View X12 Message	A		D EN^IBTRH8	
6330	IB TABLE UPDATE	Table update message	S			
6331	IB TBLUPD IN	Table update server	E			
6332	PSS MFNM01 SERVER		E			
6333	PSS MFNM01 CLIENT		S			
6334	PSJ RDEO11 SERVER		E			
6335	PSJ RDEO11 CLIENT		S			
6336	PSJ ADT-A01 CLIENT		S			
6337	PSJ ADT-A02 SERVER		E			
6338	PSJ ADT-A02 CLIENT		S			
6339	PSJ ADT-A03 SERVER		E			
6340	PSJ ADT-A03 CLIENT		S			
6341	PSJ ADT-A01 SERVER		E			
6342	PSJ ADT-A01 ROUTER		S			
6343	PSJ ADT-A08 CLIENT		S			
6344	PSJ ADT-A08 SERVER		E			
6345	PSJ ADT-A11 CLIENT		S			
6346	PSJ ADT-A11 SERVER		E			
6347	PSJ ADT-A12 CLIENT		S			
6348	PSJ ADT-A12 SERVER		E			
6349	PSJ ADT-A13 CLIENT		S			
6350	PSJ ADT-A13 SERVER		E			
6351	PSJ PADE OMS-O05 SUB	Process OMS_O05 from PADE system.	S	INPATIENT MEDICATIONS		
6352	PSJ PADE OMS-O05 EVENT	Inbound OMS_O05 triggered from PADE system.	E			
6353	PSJ LM PADE ACTIVITY	PADE Activity	A	INPATIENT MEDICATIONS	D PADECK^PSJPADPT	
6354	PSJ SIU-S12 SERVER		E			
6355	PSJ SIU-S12 CLIENT		S			
6356	PSJ SIU-SDAM ROUTER		S			
6357	PSJ PADE OMS-O05 EVENT 2.3	Process OMS_O05 v2.3 from PADE.	E			
6358	PSJ PADE OMS-O05 SUB 2.3	Process OMS_O05 v2.3 from PADE.	S	INPATIENT MEDICATIONS		
6359	PXCE ICR ADD	Contra/Refusal Event	A	PCE PATIENT CARE ENCOUNTER	S PXCEFIEN="" D EN^PXCEVFIL("ICR")	D INIT^PXCEAE
6360	PSO REMOTE RX QBP-Q13 EVENT		E			
6361	PSO REMOTE RX QBP-Q13 ESUBS		S			
6362	PSO LM REMOTE ORDER MENU	Remote Order Menu	M	OUTPATIENT PHARMACY		
