ien	name	item_text	type	package	entry_action	exit_action
18	ORB BLANK LINE	   	A			
19	ORRP STATUS MENU	Order Status	M			
20	ORRP ALL	All Orders	A		S ORPRES="1;ALL ORDERS"	
21	ORRP CURRENT	Active Orders	A		S ORPRES="2;ACTIVE ORDERS"	
22	ORRP DC	Discontinued Orders	A		S ORPRES="3;DISCONTINUED ORDERS"	
23	ORRP C/E	Completed/Expired Orders	A		S ORPRES="4;COMPLETED/EXPIRED ORDERS"	
24	ORRP EXPIRING	Expiring Orders	A		S ORPRES="5;EXPIRING ORDERS"	
25	ORRP PENDING	Pending Orders	A		S ORPRES="7;PENDING ORDERS"	
26	DGOERR ADMIT	ADMIT PATIENT	O	REGISTRATION	S DGPMT=1 D LO^DGUTL,OREN^DGPMV K VAINDT D INP^VADPT,READ^ORUTL	
27	DGOERR BED SWITCH	SWITCH BED	O	REGISTRATION	D LO^DGUTL,OREN^DGSWITCH K VAINDT D INP^VADPT,READ^ORUTL	
28	DGOERR DISCHARGE	DISCHARGE PATIENT	O	REGISTRATION	S DGPMT=3 D LO^DGUTL,OREN^DGPMV K VAINDT D INP^VADPT,READ^ORUTL	
29	DGOERR PATIENT INQUIRY	PATIENT INQUIRY	A	REGISTRATION	D OREN^DGRPD	
30	DGOERR SCHED ADMIT	SCHEDULE ADMISSION	O	REGISTRATION	D OREN^DGSCHAD,READ^ORUTL	
31	DGOERR TRANSFER	TRANSFER PATIENT	O	REGISTRATION	S DGPMT=2 D LO^DGUTL,OREN^DGPMV K VAINDT D INP^VADPT,READ^ORUTL	K DGPMASIH
32	DG OERR TREATING TRANSFER	TRANSFER SPECIALTY	O	REGISTRATION	S DGPMT=6 D LO^DGUTL,OREN^DGPMV K VAINDT D INP^VADPT,READ^ORUTL	
33	SD OERR CANCEL APPT	CANCEL CLINIC APPT	O	SCHEDULING	D OERR^SDCNP	D SDCNP^SDKILL
34	SD OERR MAKE APPT	SCHEDULE CLINIC APPT	O	SCHEDULING	D OERR^SDM	D SDM^SDKILL
35	RA OERR EXAM	RAD/NUC MED	O	RADIOLOGY/NUCLEAR MEDICINE	D ^RAORR	
43	LR EOSINO, ABSOLUTE	EOSINO, ABSOLUTE	L	LAB SERVICE	D EN^LRXO0	
44	LR GLUCOSE, STAT	GLUCOSE, STAT	L	LAB SERVICE	D EN^LRXO0	
45	LR PROTEIN,SYNOVIAL	PROTEIN,SYNOVIAL	L	LAB SERVICE	D EN^LRXO0	
46	LR PROTEIN,PERITONEAL	PROTEIN,PERITONEAL	L	LAB SERVICE	D EN^LRXO0	
47	LRM LAB ORDERS	LAB ORDER MENU	Q	LAB SERVICE		
48	LR PROTEIN,PLEURAL	PROTEIN,PLEURAL	L	LAB SERVICE	D EN^LRXO0	
49	LR WBC	WBC	L	LAB SERVICE	D EN^LRXO0	
50	LR RBC	RBC	L	LAB SERVICE	D EN^LRXO0	
51	LR HGB	HGB	L	LAB SERVICE	D EN^LRXO0	
52	LR HCT	HCT	L	LAB SERVICE	D EN^LRXO0	
53	LR MCV	MCV	L	LAB SERVICE	D EN^LRXO0	
54	LR MCH	MCH	L	LAB SERVICE	D EN^LRXO0	
55	LR MCHC	MCHC	L	LAB SERVICE	D EN^LRXO0	
56	LR DR. DEISS'	DR. DEISS'	L	LAB SERVICE	D EN^LRXO0	
57	LR PLATELET COUNT	PLATELET COUNT	L	LAB SERVICE	D EN^LRXO0	
58	LR MPV	MPV	L	LAB SERVICE	D EN^LRXO0	
59	LR SEGS	SEGS	L	LAB SERVICE	D EN^LRXO0	
60	LR BANDS	BANDS	L	LAB SERVICE	D EN^LRXO0	
61	LR LYMPHS	LYMPHS	L	LAB SERVICE	D EN^LRXO0	
62	LR MONOS	MONOS	L	LAB SERVICE	D EN^LRXO0	
63	LR EOSINO	EOSINO	L	LAB SERVICE	D EN^LRXO0	
64	LR BASO	BASO	L	LAB SERVICE	D EN^LRXO0	
65	LR META	META	L	LAB SERVICE	D EN^LRXO0	
66	LR MYELO	MYELO	L	LAB SERVICE	D EN^LRXO0	
67	LR PROS	PROS	L	LAB SERVICE	D EN^LRXO0	
68	LR PLT (ESTM)	PLT (ESTM)	L	LAB SERVICE	D EN^LRXO0	
69	LR NORMOCYTIC	NORMOCYTIC	L	LAB SERVICE	D EN^LRXO0	
70	LR NORMOCHROMIC	NORMOCHROMIC	L	LAB SERVICE	D EN^LRXO0	
71	LR ANISOCYTOSIS	ANISOCYTOSIS	L	LAB SERVICE	D EN^LRXO0	
72	LR POIKILOCYTOSIS	POIKILOCYTOSIS	L	LAB SERVICE	D EN^LRXO0	
73	LR MICROCYTOSIS	MICROCYTOSIS	L	LAB SERVICE	D EN^LRXO0	
74	LR MACROCYTOSIS	MACROCYTOSIS	L	LAB SERVICE	D EN^LRXO0	
75	LR POLYCHROMASIA	POLYCHROMASIA	L	LAB SERVICE	D EN^LRXO0	
76	LR HYPOCHROMIA	HYPOCHROMIA	L	LAB SERVICE	D EN^LRXO0	
77	LR TARGET CELLS	TARGET CELLS	L	LAB SERVICE	D EN^LRXO0	
78	LR ANTICOAGULANTS	ANTICOAGULANTS	L	LAB SERVICE	D EN^LRXO0	
79	LR ZZ PROTHROMBIN TIME	ZZ PROTHROMBIN TIME	L	LAB SERVICE	D EN^LRXO0	
80	LR ZZ PARTIAL THROMBOPLASTIN TIME	ZZ PARTIAL THROMBOPLASTIN TIME	L	LAB SERVICE	D EN^LRXO0	
81	LR FIBRINOGEN	FIBRINOGEN	L	LAB SERVICE	D EN^LRXO0	
82	LR FIBRIN SPLIT PRODUCTS	FIBRIN SPLIT PRODUCTS	L	LAB SERVICE	D EN^LRXO0	
83	LR BLEEDING TIME	BLEEDING TIME	L	LAB SERVICE	D EN^LRXO0	
84	LR THROMBIN TIME	THROMBIN TIME	L	LAB SERVICE	D EN^LRXO0	
85	LR VISCOSITY	VISCOSITY	L	LAB SERVICE	D EN^LRXO0	
86	LR LIQUIFACTION	LIQUIFACTION	L	LAB SERVICE	D EN^LRXO0	
87	LR MOTILITY	MOTILITY	L	LAB SERVICE	D EN^LRXO0	
88	LR SPERM COUNT	SPERM COUNT	L	LAB SERVICE	D EN^LRXO0	
89	LR MESOTHELIAL	MESOTHELIAL	L	LAB SERVICE	D EN^LRXO0	
90	LR CRYSTALS	CRYSTALS	L	LAB SERVICE	D EN^LRXO0	
91	LR FIO2	FIO2	L	LAB SERVICE	D EN^LRXO0	
92	LR O2HB%  (SAT)	O2HB%  (SAT)	L	LAB SERVICE	D EN^LRXO0	
93	LR COHB%	COHB%	L	LAB SERVICE	D EN^LRXO0	
94	LR METHB%	METHB%	L	LAB SERVICE	D EN^LRXO0	
95	LR O2CT.	O2CT.	L	LAB SERVICE	D EN^LRXO0	
96	LR PH 	PH 	L	LAB SERVICE	D EN^LRXO0	
97	LR PCO2	PCO2	L	LAB SERVICE	D EN^LRXO0	
98	LR BASE EXCESS	BASE EXCESS	L	LAB SERVICE	D EN^LRXO0	
99	LR BICARBONATE (SBC)	BICARBONATE (SBC)	L	LAB SERVICE	D EN^LRXO0	
100	LR CO2CT. (TCO2)	CO2CT. (TCO2)	L	LAB SERVICE	D EN^LRXO0	
101	LR PT. TEMP	PT. TEMP	L	LAB SERVICE	D EN^LRXO0	
102	LR PH AT PT. TEMP	PH AT PT. TEMP	L	LAB SERVICE	D EN^LRXO0	
103	LR PCO2 AT PT. TEMP	PCO2 AT PT. TEMP	L	LAB SERVICE	D EN^LRXO0	
104	LR WINTROBE*	WINTROBE*	L	LAB SERVICE	D EN^LRXO0	
105	LR CBC	CBC	L	LAB SERVICE	D EN^LRXO0	
106	LR ANTITHROMBIN III	ANTITHROMBIN III	L	LAB SERVICE	D EN^LRXO0	
107	LR HAM'S TEST	HAM'S TEST	L	LAB SERVICE	D EN^LRXO0	
108	LR HEMOGLOBIN A1C	HEMOGLOBIN A1C	L	LAB SERVICE	D EN^LRXO0	
109	LR LE PREP	LE PREP	L	LAB SERVICE	D EN^LRXO0	
110	LR OSMOTIC FRAGILITY	OSMOTIC FRAGILITY	L	LAB SERVICE	D EN^LRXO0	
111	LR RETICULOCYTES	RETICULOCYTES	L	LAB SERVICE	D EN^LRXO0	
112	LR SICKLE CELL PREP	SICKLE CELL PREP	L	LAB SERVICE	D EN^LRXO0	
113	LR SUGAR WATER TEST	SUGAR WATER TEST	L	LAB SERVICE	D EN^LRXO0	
114	LR ZZ B-12	ZZ B-12	L	LAB SERVICE	D EN^LRXO0	
115	LR IRON	IRON	L	LAB SERVICE	D EN^LRXO0	
116	LR TIBC	TIBC	L	LAB SERVICE	D EN^LRXO0	
117	LR DIGITOXIN	DIGITOXIN	L	LAB SERVICE	D EN^LRXO0	
118	LR DIGOXIN	DIGOXIN	L	LAB SERVICE	D EN^LRXO0	
119	LR T-4	T-4	L	LAB SERVICE	D EN^LRXO0	
120	LR FOLATE	FOLATE	L	LAB SERVICE	D EN^LRXO0	
121	LR TSH	TSH	L	LAB SERVICE	D EN^LRXO0	
122	LR INSULIN	INSULIN	L	LAB SERVICE	D EN^LRXO0	
123	LR HCG	HCG	L	LAB SERVICE	D EN^LRXO0	
124	LR FERRITIN	FERRITIN	L	LAB SERVICE	D EN^LRXO0	
125	LR CORTISOL	CORTISOL	L	LAB SERVICE	D EN^LRXO0	
126	LR ALPHA-FETOPROTEIN	ALPHA-FETOPROTEIN	L	LAB SERVICE	D EN^LRXO0	
127	LR IRON SATURATION	IRON SATURATION	L	LAB SERVICE	D EN^LRXO0	
128	LR GONADOTROPINS	GONADOTROPINS	L	LAB SERVICE	D EN^LRXO0	
129	LR TRIIODOTHYRONINE	TRIIODOTHYRONINE	L	LAB SERVICE	D EN^LRXO0	
130	LR ALPHA-1-ANTITRYPSIN	ALPHA-1-ANTITRYPSIN	L	LAB SERVICE	D EN^LRXO0	
131	LR ANA	ANA	L	LAB SERVICE	D EN^LRXO0	
132	LR ANTISTREPTOLYSIN SC	ANTISTREPTOLYSIN SC	L	LAB SERVICE	D EN^LRXO0	
133	LR ASO	ASO	L	LAB SERVICE	D EN^LRXO0	
134	LR C-REACTIVE PROTEIN	C-REACTIVE PROTEIN	L	LAB SERVICE	D EN^LRXO0	
135	LR COLD AGGLUTININS	COLD AGGLUTININS	L	LAB SERVICE	D EN^LRXO0	
136	LR COMPLEMENT C3	COMPLEMENT C3	L	LAB SERVICE	D EN^LRXO0	
137	LR COMPLEMENT C4	COMPLEMENT C4	L	LAB SERVICE	D EN^LRXO0	
138	LR CRYOGLOBULINS	CRYOGLOBULINS	L	LAB SERVICE	D EN^LRXO0	
139	LR FEBRILE AGGLUTINS	FEBRILE AGGLUTINS	L	LAB SERVICE	D EN^LRXO0	
140	LR FTA	FTA	L	LAB SERVICE	D EN^LRXO0	
141	LR HAPTOGLOBIN	HAPTOGLOBIN	L	LAB SERVICE	D EN^LRXO0	
142	LR HEPATITIS B SURFACE ANTIGEN	HEPATITIS B SURFACE ANTIGEN	L	LAB SERVICE	D EN^LRXO0	
143	LR IMMUNOELECTROPHORESIS	IMMUNOELECTROPHORESIS	L	LAB SERVICE	D EN^LRXO0	
144	LR ZZ IMMUNOGLOBULINS	ZZ IMMUNOGLOBULINS	L	LAB SERVICE	D EN^LRXO0	
145	LR MONO SPOT 	MONO SPOT 	L	LAB SERVICE	D EN^LRXO0	
146	LR MYCOPLASMA TITER	MYCOPLASMA TITER	L	LAB SERVICE	D EN^LRXO0	
147	LR RHEUMATOID FACTOR	RHEUMATOID FACTOR	L	LAB SERVICE	D EN^LRXO0	
148	LR RPR	RPR	L	LAB SERVICE	D EN^LRXO0	
149	LR STREPTOZYME	STREPTOZYME	L	LAB SERVICE	D EN^LRXO0	
150	LR VDRL	VDRL	L	LAB SERVICE	D EN^LRXO0	
151	LR FUNGAL ANTIGEN	FUNGAL ANTIGEN	L	LAB SERVICE	D EN^LRXO0	
152	LR URINE COLOR	URINE COLOR	L	LAB SERVICE	D EN^LRXO0	
153	LR URINE DENSITY	URINE DENSITY	L	LAB SERVICE	D EN^LRXO0	
154	LR SPECIFIC GRAVITY	SPECIFIC GRAVITY	L	LAB SERVICE	D EN^LRXO0	
155	LR ZZ UROBILINOGEN	ZZ UROBILINOGEN	L	LAB SERVICE	D EN^LRXO0	
156	LR ZZ OCCULT BLOOD	ZZ OCCULT BLOOD	L	LAB SERVICE	D EN^LRXO0	
157	LR URINE BILIRUBIN	URINE BILIRUBIN	L	LAB SERVICE	D EN^LRXO0	
158	LR URINE KETONES	URINE KETONES	L	LAB SERVICE	D EN^LRXO0	
159	LR URINE GLUCOSE	URINE GLUCOSE	L	LAB SERVICE	D EN^LRXO0	
160	LR URINE PROTEIN	URINE PROTEIN	L	LAB SERVICE	D EN^LRXO0	
161	LR URINE PH	URINE PH	L	LAB SERVICE	D EN^LRXO0	
162	LR URINE WBC/HPF	URINE WBC/HPF	L	LAB SERVICE	D EN^LRXO0	
163	LR URINE EPITH CELLS	URINE EPITH CELLS	L	LAB SERVICE	D EN^LRXO0	
164	LR URINE BACTERIA	URINE BACTERIA	L	LAB SERVICE	D EN^LRXO0	
165	LR URINE MUCUS	URINE MUCUS	L	LAB SERVICE	D EN^LRXO0	
166	LR URINE WBC CASTS	URINE WBC CASTS	L	LAB SERVICE	D EN^LRXO0	
167	LR URINE RBC CASTS	URINE RBC CASTS	L	LAB SERVICE	D EN^LRXO0	
168	LR HYALINE CASTS	HYALINE CASTS	L	LAB SERVICE	D EN^LRXO0	
169	LR GRANULAR CASTS	GRANULAR CASTS	L	LAB SERVICE	D EN^LRXO0	
170	LR WAXY CASTS	WAXY CASTS	L	LAB SERVICE	D EN^LRXO0	
171	LR FATTY CASTS	FATTY CASTS	L	LAB SERVICE	D EN^LRXO0	
172	LR URINE YEAST	URINE YEAST	L	LAB SERVICE	D EN^LRXO0	
173	LR URINE HEMOSIDERIN	URINE HEMOSIDERIN	L	LAB SERVICE	D EN^LRXO0	
174	LR URINE 5HIAA	URINE 5HIAA	L	LAB SERVICE	D EN^LRXO0	
175	LR URINE PORPHOBILINOGEN	URINE PORPHOBILINOGEN	L	LAB SERVICE	D EN^LRXO0	
176	LR AM URATE CRYSTALS	AM URATE CRYSTALS	L	LAB SERVICE	D EN^LRXO0	
177	LR AM PHOSPHATE CRYSTALS	AM PHOSPHATE CRYSTALS	L	LAB SERVICE	D EN^LRXO0	
178	LR TRI PHOSPHATE CRYSTALS	TRI PHOSPHATE CRYSTALS	L	LAB SERVICE	D EN^LRXO0	
179	LR CA++ OXALATE CRYSTALS	CA++ OXALATE CRYSTALS	L	LAB SERVICE	D EN^LRXO0	
180	LR URIC ACID CRYSTALS	URIC ACID CRYSTALS	L	LAB SERVICE	D EN^LRXO0	
181	LR CYSTINE CRYSTALS	CYSTINE CRYSTALS	L	LAB SERVICE	D EN^LRXO0	
182	LR LEUCINE CRYSTALS	LEUCINE CRYSTALS	L	LAB SERVICE	D EN^LRXO0	
183	LR TYROSINE CRYSTALS	TYROSINE CRYSTALS	L	LAB SERVICE	D EN^LRXO0	
184	LR CREATININE	CREATININE	L	LAB SERVICE	D EN^LRXO0	
185	LR UREA NITROGEN	UREA NITROGEN	L	LAB SERVICE	D EN^LRXO0	
186	LR GLUCOSE	GLUCOSE	L	LAB SERVICE	D EN^LRXO0	
187	LR SODIUM	SODIUM	L	LAB SERVICE	D EN^LRXO0	
188	LR POTASSIUM	POTASSIUM	L	LAB SERVICE	D EN^LRXO0	
189	LR CHLORIDE	CHLORIDE	L	LAB SERVICE	D EN^LRXO0	
190	LR CO2	CO2	L	LAB SERVICE	D EN^LRXO0	
191	LR CALCIUM	CALCIUM	L	LAB SERVICE	D EN^LRXO0	
192	LR PO4	PO4	L	LAB SERVICE	D EN^LRXO0	
193	LR URIC ACID - SMA	URIC ACID - SMA	L	LAB SERVICE	D EN^LRXO0	
194	LR CHOLESTEROL	CHOLESTEROL	L	LAB SERVICE	D EN^LRXO0	
195	LR PROTEIN,TOTAL	PROTEIN,TOTAL	L	LAB SERVICE	D EN^LRXO0	
196	LR ALBUMIN	ALBUMIN	L	LAB SERVICE	D EN^LRXO0	
197	LR TOT. BILIRUBIN	TOT. BILIRUBIN	L	LAB SERVICE	D EN^LRXO0	
198	LR DIR. BILIRUBIN	DIR. BILIRUBIN	L	LAB SERVICE	D EN^LRXO0	
199	LR ALKALINE PHOSPHATASE	ALKALINE PHOSPHATASE	L	LAB SERVICE	D EN^LRXO0	
200	LR LDH	LDH	L	LAB SERVICE	D EN^LRXO0	
201	LR SGOT	SGOT	L	LAB SERVICE	D EN^LRXO0	
202	LR SGPT	SGPT	L	LAB SERVICE	D EN^LRXO0	
203	LR GAMMA-GTP	GAMMA-GTP	L	LAB SERVICE	D EN^LRXO0	
204	LR ACETONE	ACETONE	L	LAB SERVICE	D EN^LRXO0	
205	LR ACID PHOSPHATASE	ACID PHOSPHATASE	L	LAB SERVICE	D EN^LRXO0	
206	LR ETHANOL	ETHANOL	L	LAB SERVICE	D EN^LRXO0	
207	LR AMYLASE	AMYLASE	L	LAB SERVICE	D EN^LRXO0	
208	LR CPK 	CPK 	L	LAB SERVICE	D EN^LRXO0	
209	LR LITHIUM	LITHIUM	L	LAB SERVICE	D EN^LRXO0	
210	LR LACTIC ACID	LACTIC ACID	L	LAB SERVICE	D EN^LRXO0	
211	LR LIPASE	LIPASE	L	LAB SERVICE	D EN^LRXO0	
212	LR MAGNESIUM	MAGNESIUM	L	LAB SERVICE	D EN^LRXO0	
213	LR 5' NUCLEOTIDASE	5' NUCLEOTIDASE	L	LAB SERVICE	D EN^LRXO0	
214	LR OSMOLARITY	OSMOLARITY	L	LAB SERVICE	D EN^LRXO0	
215	LR SALICYLATE	SALICYLATE	L	LAB SERVICE	D EN^LRXO0	
216	LR TRIGLYCERIDE	TRIGLYCERIDE	L	LAB SERVICE	D EN^LRXO0	
217	LR AMMONIA	AMMONIA	L	LAB SERVICE	D EN^LRXO0	
218	LR PHENOBARBITAL	PHENOBARBITAL	L	LAB SERVICE	D EN^LRXO0	
219	LR ACTH	ACTH	L	LAB SERVICE	D EN^LRXO0	
220	LR QUINIDINE	QUINIDINE	L	LAB SERVICE	D EN^LRXO0	
221	LR DILANTIN	DILANTIN	L	LAB SERVICE	D EN^LRXO0	
222	LR THEOPHYLLINE	THEOPHYLLINE	L	LAB SERVICE	D EN^LRXO0	
223	LR BARBITURATES	BARBITURATES	L	LAB SERVICE	D EN^LRXO0	
224	LR AMPHETAMINES	AMPHETAMINES	L	LAB SERVICE	D EN^LRXO0	
225	LR ANGIOTENSIN-1	ANGIOTENSIN-1	L	LAB SERVICE	D EN^LRXO0	
226	LR BROMIDE	BROMIDE	L	LAB SERVICE	D EN^LRXO0	
227	LR CALCITONIN	CALCITONIN	L	LAB SERVICE	D EN^LRXO0	
228	LR ESTROGEN	ESTROGEN	L	LAB SERVICE	D EN^LRXO0	
229	LR GENTAMICIN, RANDOM	GENTAMICIN, RANDOM	L	LAB SERVICE	D EN^LRXO0	
230	LR GLUCOSE TOLERANCE TEST	GLUCOSE TOLERANCE TEST	L	LAB SERVICE	D EN^LRXO0	
231	LR HGB ELECTROPHORESIS	HGB ELECTROPHORESIS	L	LAB SERVICE	D EN^LRXO0	
232	LR DISOPYRAMIDE	DISOPYRAMIDE	L	LAB SERVICE	D EN^LRXO0	
233	LR SPEP	SPEP	L	LAB SERVICE	D EN^LRXO0	
234	LR RENIN	RENIN	L	LAB SERVICE	D EN^LRXO0	
235	LR COPPER	COPPER	L	LAB SERVICE	D EN^LRXO0	
236	LR DNA	DNA	L	LAB SERVICE	D EN^LRXO0	
237	LR ALDOLASE	ALDOLASE	L	LAB SERVICE	D EN^LRXO0	
238	LR ALDOSTERONE	ALDOSTERONE	L	LAB SERVICE	D EN^LRXO0	
239	LR AMITRIPTYLINE	AMITRIPTYLINE	L	LAB SERVICE	D EN^LRXO0	
240	LR ANTI SMOOTH MUSCLE	ANTI SMOOTH MUSCLE	L	LAB SERVICE	D EN^LRXO0	
241	LR ANTI MITOCHONDRIAL	ANTI MITOCHONDRIAL	L	LAB SERVICE	D EN^LRXO0	
242	LR C-PEPTIDE	C-PEPTIDE	L	LAB SERVICE	D EN^LRXO0	
243	LR CANDIDA PRECIPITANS	CANDIDA PRECIPITANS	L	LAB SERVICE	D EN^LRXO0	
244	LR CERULOPLASMIN	CERULOPLASMIN	L	LAB SERVICE	D EN^LRXO0	
245	LR 11-DEOXYCORTISOL	11-DEOXYCORTISOL	L	LAB SERVICE	D EN^LRXO0	
246	LR PTH (C-TERMINAL)	PTH (C-TERMINAL)	L	LAB SERVICE	D EN^LRXO0	
247	LR PTH (INTACT)	PTH (INTACT)	L	LAB SERVICE	D EN^LRXO0	
248	LR METANEPHRINES, TOT	METANEPHRINES, TOT	L	LAB SERVICE	D EN^LRXO0	
249	LR FSH	FSH	L	LAB SERVICE	D EN^LRXO0	
250	LR GASTRIN	GASTRIN	L	LAB SERVICE	D EN^LRXO0	
251	LR HETEROPHIL	HETEROPHIL	L	LAB SERVICE	D EN^LRXO0	
252	LR HDL	HDL	L	LAB SERVICE	D EN^LRXO0	
253	LR LH 	LH 	L	LAB SERVICE	D EN^LRXO0	
254	LR MYSOLINE	MYSOLINE	L	LAB SERVICE	D EN^LRXO0	
255	LR PROCAINAMIDE	PROCAINAMIDE	L	LAB SERVICE	D EN^LRXO0	
256	LR PROLACTIN	PROLACTIN	L	LAB SERVICE	D EN^LRXO0	
257	LR TESTOSTERONE	TESTOSTERONE	L	LAB SERVICE	D EN^LRXO0	
258	LR TEGRETOL	TEGRETOL	L	LAB SERVICE	D EN^LRXO0	
259	LR ZINC	ZINC	L	LAB SERVICE	D EN^LRXO0	
260	LR CATECHOLAMINES	CATECHOLAMINES	L	LAB SERVICE	D EN^LRXO0	
261	LR EPINEPHRINE	EPINEPHRINE	L	LAB SERVICE	D EN^LRXO0	
262	LR NOREPINEPHRINE	NOREPINEPHRINE	L	LAB SERVICE	D EN^LRXO0	
263	LR VMA	VMA	L	LAB SERVICE	D EN^LRXO0	
264	LR N-ACETYL PROCAINAMIDE	N-ACETYL PROCAINAMIDE	L	LAB SERVICE	D EN^LRXO0	
265	LR ARSENIC	ARSENIC	L	LAB SERVICE	D EN^LRXO0	
266	LR MERCURY	MERCURY	L	LAB SERVICE	D EN^LRXO0	
267	LR LEAD	LEAD	L	LAB SERVICE	D EN^LRXO0	
268	LR CHOLINESTERASE	CHOLINESTERASE	L	LAB SERVICE	D EN^LRXO0	
269	LR LIVER QUICK ORDER	LIVER QUICK ORDER	X	LAB SERVICE	D EN^LRXO0 S XQORSPEW=1	K XQORSPEW
270	LR CHEM 7	CHEM 7	L	LAB SERVICE	D EN^LRXO0	
271	LR CHEM 20	CHEM 20	L	LAB SERVICE	D EN^LRXO0	
272	LR URINE CASTS	URINE CASTS	L	LAB SERVICE	D EN^LRXO0	
273	LR URINE CRYSTALS	URINE CRYSTALS	L	LAB SERVICE	D EN^LRXO0	
274	LR URINALYSIS	URINALYSIS	L	LAB SERVICE	D EN^LRXO0	
275	LR URINE RBC/HPF	URINE RBC/HPF	L	LAB SERVICE	D EN^LRXO0	
276	LR PORPHOBILINOGEN	PORPHOBILINOGEN	L	LAB SERVICE	D EN^LRXO0	
277	LR LAB T	LAB T	L	LAB SERVICE	D EN^LRXO0	
278	LR RBC MORPHOLOGY	RBC MORPHOLOGY	L	LAB SERVICE	D EN^LRXO0	
279	LR CBC & DIFF (WITH MORPHOLOGY)	CBC & DIFF (WITH MORPHOLOGY)	L	LAB SERVICE	D EN^LRXO0	
280	LR SEMEN ANALYSIS	SEMEN ANALYSIS	L	LAB SERVICE	D EN^LRXO0	
281	LR SPERM MORPHOLOGY	SPERM MORPHOLOGY	L	LAB SERVICE	D EN^LRXO0	
282	LR BLOOD GASES	BLOOD GASES	L	LAB SERVICE	D EN^LRXO0	
283	LR PO2	PO2	L	LAB SERVICE	D EN^LRXO0	
284	LR PO2 AT PT. TEMP	PO2 AT PT. TEMP	L	LAB SERVICE	D EN^LRXO0	
285	LR NON SMAC CHEMISTRIES	NON SMAC CHEMISTRIES	L	LAB SERVICE	D EN^LRXO0	
286	LR RIA SET	RIA SET	L	LAB SERVICE	D EN^LRXO0	
287	LR TOTAL WHITE COUNT ON CYTOPREP	TOTAL WHITE COUNT ON CYTOPREP	L	LAB SERVICE	D EN^LRXO0	
288	LR PMN	PMN	L	LAB SERVICE	D EN^LRXO0	
289	LR CELL COUNT (FLUID)	CELL COUNT (FLUID)	L	LAB SERVICE	D EN^LRXO0	
290	LR WESTERGREN SED RATE	WESTERGREN SED RATE	L	LAB SERVICE	D EN^LRXO0	
291	LR CEA	CEA	L	LAB SERVICE	D EN^LRXO0	
292	LR MICROBIOLOGY TEST LIST	MICROBIOLOGY TEST LIST	L	LAB SERVICE	D EN^LRXO0	
293	LR AUTOPSY	AUTOPSY	L	LAB SERVICE	D EN^LRXO0	
294	LR SURGICAL PATHOLOGY	SURGICAL PATHOLOGY	L	LAB SERVICE	D EN^LRXO0	
295	LR SEROLOGY	SEROLOGY	L	LAB SERVICE	D EN^LRXO0	
296	LR CYTOLOGY	CYTOLOGY	L	LAB SERVICE	D EN^LRXO0	
297	LR T-3 RU	T-3 RU	L	LAB SERVICE	D EN^LRXO0	
298	LR COMPUTED CREATININE CLEARANCE	COMPUTED CREATININE CLEARANCE	L	LAB SERVICE	D EN^LRXO0	
299	LR ALL	ALL	L	LAB SERVICE	D EN^LRXO0	
300	LR ACETAMINOPHEN	ACETAMINOPHEN	L	LAB SERVICE	D EN^LRXO0	
301	LR AMINOLEVULINIC ACID	AMINOLEVULINIC ACID	L	LAB SERVICE	D EN^LRXO0	
302	LR ANDROSTENEDIONE	ANDROSTENEDIONE	L	LAB SERVICE	D EN^LRXO0	
303	LR ANTI-DNA ANTIBODY	ANTI-DNA ANTIBODY	L	LAB SERVICE	D EN^LRXO0	
304	LR ANTI-HYALURONIDASE TITER	ANTI-HYALURONIDASE TITER	L	LAB SERVICE	D EN^LRXO0	
305	LR ANTI-MICROSOMAL ANTIBODY	ANTI-MICROSOMAL ANTIBODY	L	LAB SERVICE	D EN^LRXO0	
306	LR ANTI-MITOCHONDRIAL ANTIBODIES	ANTI-MITOCHONDRIAL ANTIBODIES	L	LAB SERVICE	D EN^LRXO0	
307	LR ANTIMONY	ANTIMONY	L	LAB SERVICE	D EN^LRXO0	
308	LR ANTI-PARIETAL CELL ANTIBODY	ANTI-PARIETAL CELL ANTIBODY	L	LAB SERVICE	D EN^LRXO0	
309	LR ANTI-THYROGLOBULIN ANTIBODY	ANTI-THYROGLOBULIN ANTIBODY	L	LAB SERVICE	D EN^LRXO0	
310	LR BRUCELLA AGGLUTINATION	BRUCELLA AGGLUTINATION	L	LAB SERVICE	D EN^LRXO0	
311	LR BUTABARBITAL	BUTABARBITAL	L	LAB SERVICE	D EN^LRXO0	
312	LR CADMIUM	CADMIUM	L	LAB SERVICE	D EN^LRXO0	
313	LR CARBON TETRACHLORIDE	CARBON TETRACHLORIDE	L	LAB SERVICE	D EN^LRXO0	
314	LR CAROTENE	CAROTENE	L	LAB SERVICE	D EN^LRXO0	
315	LR CHLORPHENIRAMINE	CHLORPHENIRAMINE	L	LAB SERVICE	D EN^LRXO0	
316	LR CHLORPROMAZINE	CHLORPROMAZINE	L	LAB SERVICE	D EN^LRXO0	
317	LR ABO TITER	ABO TITER	L	LAB SERVICE	D EN^LRXO0	
318	LR THYROID GROUP	THYROID GROUP	L	LAB SERVICE	D EN^LRXO0	
319	LR FREE T-4	FREE T-4	L	LAB SERVICE	D EN^LRXO0	
320	LR UIBC	UIBC	L	LAB SERVICE	D EN^LRXO0	
321	LR IRON GROUP	IRON GROUP	L	LAB SERVICE	D EN^LRXO0	
