protocol_name	protocol_package	action_kind	callee_tag	callee_routine	call_kind	ref_count
DGEN MSDS EDIT	REGISTRATION	entry	ACT	DGRP61	do	1
DGEN MSDS MENU	REGISTRATION	exit	PEXIT	DGRP61	do	1
DGEN MSDS VIEW HISTORY	REGISTRATION	entry	EN	DGRP62	do	1
DGEN MT AUTOMATIC ENROLLMENT UPDATE	REGISTRATION	entry	MTUPD	DGENA2	do	1
DGEN SD ENROLL PATIENT	REGISTRATION	entry	ENROLL	DGENA2	do	1
DGEN SELECT PATIENT	REGISTRATION	entry	SP	DGEN1	do	1
DGEN SEND ENROLLMENT QUERY	REGISTRATION	entry	QUERY	DGEN1	do	1
DGENCD ADD/EDIT CATASTROPHIC DISABILITY	REGISTRATION	entry	ADDCD	DGENCD1	do	1
DGENCD CATASTROPHIC DISABILITY	REGISTRATION	entry	EN	DGENCD1	do	1
DGENCD DELETE CATASTROPHIC DISABILITY	REGISTRATION	entry	DELETECD	DGENCD1	do	1
DGENPT PREFERRED FACILITY	REGISTRATION	entry	PF	DGENPT	do	1
DGENUP PRINT 1010EZ-EZR	REGISTRATION	entry	PEZ	DGEN1	do	1
DGENUP VIEW ELIGIBILTY UPLOAD AUDIT	REGISTRATION	entry	EN	DGENUPA2	do	1
DGFFP CHANGE PATIENT	REGISTRATION	entry	PAT	DGFFPLM	do	1
DGJ ALL GROUP EDIT		entry	ALLEDIT	DGJTVW1	do	1
DGJ CHNG PAT		entry	PAT1	DGJTEE1	do	1
DGJ DELETE DEFICIENCY		entry	OKD	DGJTDEL	do	1
DGJ DELETE SUPER		entry	START5	DGJTEE	do	1
DGJ DELETE SUPER		exit	REP	DGJTEE	do	1
DGJ DELETE SUPER2		entry	OKD	DGJTDEL	do	1
DGJ EDIT COMP IRT SINGLE		entry	NEW	DGJTEE	do	1
DGJ EDIT COMP IRT SUPER		entry	START4	DGJTEE	do	1
DGJ EDIT COMP IRT SUPER		exit	REP	DGJTEE	do	1
DGJ EDIT COMP SUPER2		entry	NEW	DGJTEE	do	1
DGJ EDIT SUMMARY/REPORT		entry	EDIT	DGJTVW1	do	1
DGJ GROUP 2 EDIT		entry	EDIT	DGJTVW1	do	1
DGJ GROUP 3 EDIT		entry	EDIT	DGJTVW1	do	1
DGJ GROUP 4 EDIT		entry	EDIT	DGJTVW1	do	1
