source_package	dest_package	call_edges	distinct_caller_routines	distinct_callee_routines
HINQ	Automated Medical Information Exchange	2	2	1
HINQ	DRG Grouper	4	4	1
HINQ	HINQ	175	52	71
HINQ	Income Verification Match	24	15	2
HINQ	Inpatient Medications	1	1	1
HINQ	Integrated Billing	1	1	1
HINQ	Kernel	112	49	10
HINQ	List Manager	1	1	1
HINQ	MailMan	9	8	3
HINQ	ODS	8	8	1
HINQ	Order Entry Results Reporting	1	1	1
HINQ	Outpatient Pharmacy	2	1	2
HINQ	Registration	108	22	25
HINQ	Toolkit	5	2	1
HINQ	VA FileMan	321	87	27
Health Data and Informatics	Health Data and Informatics	186	42	33
Health Data and Informatics	Kernel	88	43	12
Health Data and Informatics	List Manager	2	2	1
Health Data and Informatics	M XML Parser	2	2	2
Health Data and Informatics	MailMan	9	6	3
Health Data and Informatics	Registration	10	10	1
Health Data and Informatics	Toolkit	10	3	1
Health Data and Informatics	VA FileMan	67	26	10
Health Data and Informatics	VistALink	2	2	1
Health Level Seven	Health Level Seven	1089	210	186
Health Level Seven	Kernel	451	162	20
Health Level Seven	List Manager	78	22	4
Health Level Seven	MailMan	18	17	7
Health Level Seven	Registration	15	15	1
Health Level Seven	VA FileMan	226	121	23
Health Summary	Adverse Reaction Tracking	3	3	1
Health Summary	Authorization Subscription	2	1	1
Health Summary	Automated Medical Information Exchange	1	1	1
Health Summary	CPT HCPCS Codes	6	4	2
Health Summary	Clinical Reminders	12	7	6
Health Summary	DRG Grouper	10	6	3
Health Summary	Dietetics	1	1	1
Health Summary	General Medical Record - Vitals	3	3	2
Health Summary	Health Level Seven	4	1	1
Health Summary	Health Summary	737	214	121
Health Summary	Inpatient Medications	6	6	2
Health Summary	Integrated Billing	1	1	1
Health Summary	Kernel	203	115	13
Health Summary	Lab Service	4	4	2
Health Summary	Lexicon Utility	3	3	2
Health Summary	MailMan	9	5	4
Health Summary	Medicine	2	1	1
Health Summary	Mental Health	7	4	5
Health Summary	National Drug File	3	3	2
Health Summary	Order Entry Results Reporting	30	13	12
Health Summary	Outpatient Pharmacy	26	11	6
Health Summary	PCE Patient Care Encounter	10	9	9
Health Summary	Patient Data Exchange	17	8	6
Health Summary	Pharmacy Data Management	12	8	3
Health Summary	Problem List	2	2	2
Health Summary	RPC Broker	2	2	1
Health Summary	Registration	48	28	7
Health Summary	Scheduling	8	6	4
Health Summary	Surgery	2	2	1
Health Summary	Text Integration Utility	10	8	5
Health Summary	Toolkit	10	9	2
Health Summary	VA FileMan	367	184	21
Health Summary	VBECS	2	2	1
Health Summary	Womens Health	1	1	1
HealtheVet Desktop	HealtheVet Desktop	11	6	3
HealtheVet Desktop	Kernel	22	11	6
HealtheVet Desktop	Registration	2	1	1
HealtheVet Desktop	Text Integration Utility	1	1	1
HealtheVet Desktop	Toolkit	14	6	3
HealtheVet Desktop	VA FileMan	12	7	4
Hines OIFO	Accounts Receivable	11	3	4
Hines OIFO	Hines OIFO	202	24	25
Hines OIFO	Integrated Billing	1	1	1
Hines OIFO	Kernel	2	2	2
Hines OIFO	MailMan	1	1	1
Hines OIFO	Registration	1	1	1
Hines OIFO	VA FileMan	37	24	5
Hospital Based Home Care	CPT HCPCS Codes	4	2	2
Hospital Based Home Care	DRG Grouper	21	13	1
Hospital Based Home Care	Hospital Based Home Care	211	60	24
Hospital Based Home Care	Kernel	16	10	6
Hospital Based Home Care	Lexicon Utility	6	3	3
Hospital Based Home Care	List Manager	5	1	3
Hospital Based Home Care	MailMan	9	9	2
Hospital Based Home Care	Registration	4	3	2
Hospital Based Home Care	Scheduling	13	2	2
Hospital Based Home Care	VA FileMan	128	58	12
Houston VAMC	Houston VAMC	56	14	17
Houston VAMC	MailMan	6	4	2
Houston VAMC	VA FileMan	28	13	7
IFCAP	CPT HCPCS Codes	1	1	1
IFCAP	Drug Accountability	12	10	1
IFCAP	Engineering	4	4	1
IFCAP	Fee Basis	1	1	1
IFCAP	Generic Code Sheet	94	32	5
IFCAP	Health Level Seven	54	22	12
IFCAP	IFCAP	6521	1255	1016
IFCAP	Kernel	277	135	19
IFCAP	List Manager	82	41	4
IFCAP	MailMan	121	90	10
IFCAP	Order Entry Results Reporting	2	2	1
IFCAP	Registration	5	5	2
IFCAP	Surgery	1	1	1
IFCAP	Toolkit	53	52	2
IFCAP	VA FileMan	4478	1189	42
Imaging	Adverse Reaction Tracking	2	2	1
Imaging	CPT HCPCS Codes	11	11	2
Imaging	Clinical Procedures	2	1	2
Imaging	Consult Request Tracking	5	4	3
Imaging	General Medical Record - Vitals	2	2	1
Imaging	Health Level Seven	34	16	7
Imaging	Health Summary	2	1	1
Imaging	Imaging	1921	431	364
Imaging	Kernel	528	271	23
Imaging	Lab Service	1	1	1
Imaging	Lexicon Utility	3	1	3
Imaging	M XML Parser	7	2	2
Imaging	MailMan	26	21	8
Imaging	Master Patient Index VistA	22	20	1
Imaging	Medicine	8	7	3
Imaging	Order Entry Results Reporting	1	1	1
Imaging	Problem List	1	1	1
Imaging	RPC Broker	10	10	1
Imaging	Radiology Nuclear Medicine	60	32	22
Imaging	Registration	68	39	13
Imaging	Surgery	3	2	3
Imaging	Text Integration Utility	44	18	14
Imaging	Toolkit	11	8	2
Imaging	VA FileMan	796	354	26
Imaging	Vendor - ISI	18	10	6
Incident Reporting	Kernel	3	1	2
Incident Reporting	MailMan	1	1	1
Incident Reporting	VA FileMan	5	2	4
Income Verification Match	Enrollment Application System	6	5	3
Income Verification Match	Fee Basis	1	1	1
Income Verification Match	Health Level Seven	71	45	8
Income Verification Match	Income Verification Match	442	111	122
Income Verification Match	Integrated Billing	13	11	6
Income Verification Match	Kernel	168	80	9
Income Verification Match	List Manager	41	19	4
Income Verification Match	MailMan	31	30	2
Income Verification Match	Master Patient Index VistA	7	5	2
Income Verification Match	Order Entry Results Reporting	1	1	1
Income Verification Match	Pharmacy Data Management	1	1	1
Income Verification Match	Registration	292	102	75
Income Verification Match	Scheduling	22	7	5
Income Verification Match	Toolkit	1	1	1
Income Verification Match	VA FileMan	261	128	15
Incomplete Records Tracking	Beneficiary Travel	1	1	1
Incomplete Records Tracking	Incomplete Records Tracking	139	60	58
Incomplete Records Tracking	Kernel	18	10	4
Incomplete Records Tracking	List Manager	28	14	4
Incomplete Records Tracking	MailMan	1	1	1
Incomplete Records Tracking	Record Tracking	4	4	1
Incomplete Records Tracking	Registration	21	11	5
Incomplete Records Tracking	VA FileMan	440	64	15
Inpatient Medications	Adverse Reaction Tracking	9	7	2
Inpatient Medications	Barcode Medication Administration	9	9	4
Inpatient Medications	Clinical Reminders	1	1	1
Inpatient Medications	DSS Extracts	5	4	2
Inpatient Medications	Dietetics	1	1	1
Inpatient Medications	General Medical Record - Vitals	2	2	1
Inpatient Medications	Health Level Seven	21	13	4
Inpatient Medications	Inpatient Medications	3326	465	423
Inpatient Medications	Kernel	255	140	13
Inpatient Medications	List Manager	168	110	5
Inpatient Medications	MailMan	46	46	2
Inpatient Medications	Mental Health	5	3	1
Inpatient Medications	National Drug File	14	8	3
Inpatient Medications	Order Entry Results Reporting	50	35	19
Inpatient Medications	Outpatient Pharmacy	16	15	11
Inpatient Medications	PCE Patient Care Encounter	1	1	1
Inpatient Medications	Pharmacy Benefits Management	3	3	1
Inpatient Medications	Pharmacy Data Management	120	68	21
Inpatient Medications	RPC Broker	1	1	1
Inpatient Medications	Registration	123	77	13
Inpatient Medications	Scheduling	7	7	3
Inpatient Medications	Text Integration Utility	4	4	2
Inpatient Medications	Toolkit	12	11	2
Inpatient Medications	VA FileMan	1058	414	22
Insurance Capture Buffer	Insurance Capture Buffer	52	17	16
Insurance Capture Buffer	Integrated Billing	10	4	7
Insurance Capture Buffer	Kernel	40	18	7
Insurance Capture Buffer	MailMan	1	1	1
Insurance Capture Buffer	RPC Broker	1	1	1
Insurance Capture Buffer	Registration	5	3	3
Insurance Capture Buffer	Toolkit	19	3	4
Insurance Capture Buffer	VA Certified Components - DSSI	36	14	7
Insurance Capture Buffer	VA FileMan	76	25	12
Integrated Billing	Accounts Receivable	171	106	23
Integrated Billing	Automated Information Collection System	22	20	4
Integrated Billing	CPT HCPCS Codes	61	52	2
Integrated Billing	DRG Grouper	11	5	4
Integrated Billing	E Claims Management Engine	22	17	8
Integrated Billing	Enrollment Application System	1	1	1
Integrated Billing	Fee Basis	3	1	3
Integrated Billing	HINQ	1	1	1
Integrated Billing	Health Data and Informatics	3	1	2
Integrated Billing	Health Level Seven	109	38	11
Integrated Billing	Health Summary	1	1	1
Integrated Billing	Income Verification Match	45	25	4
Integrated Billing	Integrated Billing	8566	1717	1406
Integrated Billing	Kernel	2121	1182	36
Integrated Billing	Lexicon Utility	1	1	1
Integrated Billing	List Manager	1010	348	6
Integrated Billing	MailMan	160	144	14
Integrated Billing	Master Patient Index VistA	12	9	2
Integrated Billing	National Drug File	2	2	2
Integrated Billing	ODS	19	19	1
Integrated Billing	Order Entry Results Reporting	6	6	2
Integrated Billing	Outpatient Pharmacy	66	44	14
Integrated Billing	PCE Patient Care Encounter	7	5	3
Integrated Billing	Patient Data Exchange	9	3	4
Integrated Billing	Pharmacy Data Management	14	11	3
Integrated Billing	RPC Broker	28	8	2
Integrated Billing	Registration	717	421	68
Integrated Billing	Scheduling	73	41	8
Integrated Billing	Surgery	1	1	1
Integrated Billing	Toolkit	4	2	4
Integrated Billing	VA FileMan	6439	1840	41
Integrated Billing	VDEF	3	3	1
Integrated Patient Fund	IFCAP	1	1	1
Integrated Patient Fund	Integrated Patient Fund	158	32	25
Integrated Patient Fund	Kernel	13	6	5
Integrated Patient Fund	MailMan	1	1	1
Integrated Patient Fund	Master Patient Index VistA	2	2	1
Integrated Patient Fund	Registration	3	3	2
Integrated Patient Fund	VA FileMan	75	33	13
Interim Management Support	Interim Management Support	16	8	8
Interim Management Support	Registration	2	2	2
Interim Management Support	VA FileMan	97	43	9
Joint Legacy Viewer	Kernel	1	1	1
Joint Legacy Viewer	VA FileMan	1	1	1
Kernel	Capacity Management	4	3	3
Kernel	Health Data and Informatics	3	1	2
Kernel	Health Level Seven	80	47	11
Kernel	Integrated Billing	9	2	6
Kernel	Kernel	2835	647	450
Kernel	List Manager	20	6	5
Kernel	M XML Parser	10	2	2
Kernel	MailMan	99	79	21
Kernel	Order Entry Results Reporting	3	1	3
Kernel	Outpatient Pharmacy	5	3	2
Kernel	PAID	1	1	1
Kernel	RPC Broker	39	12	16
Kernel	Registration	28	27	4
Kernel	Toolkit	49	37	13
Kernel	Uncategorized	14	5	2
Kernel	VA FileMan	1371	548	52
Kernel	Web Services Client	6	3	1
Lab Service	Automated Lab Instruments	48	30	17
Lab Service	CPT HCPCS Codes	17	14	2
Lab Service	Clinical Reminders	12	3	1
Lab Service	DRG Grouper	41	23	3
Lab Service	DSS Extracts	1	1	1
Lab Service	General Medical Record - Vitals	1	1	1
Lab Service	Health Data and Informatics	6	4	4
Lab Service	Health Level Seven	11	8	4
Lab Service	Imaging	9	7	2
Lab Service	Inpatient Medications	2	1	1
Lab Service	Integrated Billing	3	3	1
Lab Service	Kernel	1141	481	35
Lab Service	Lab Service	5132	992	744
Lab Service	Lexicon Utility	11	7	3
Lab Service	List Manager	34	17	3
Lab Service	M XML Parser	1	1	1
Lab Service	MailMan	67	53	9
Lab Service	Master Patient Index VistA	1	1	1
Lab Service	Order Entry Results Reporting	29	21	13
Lab Service	PCE Patient Care Encounter	11	8	4
Lab Service	Registration	122	93	10
Lab Service	Scheduling	9	7	6
Lab Service	Surgery	4	3	3
Lab Service	Text Integration Utility	9	5	5
Lab Service	Toolkit	67	56	6
Lab Service	VA FileMan	2300	866	41
Lab Service	VBECS	3	2	2
Lab Service	Womens Health	3	1	2
Lexicon Utility	CPT HCPCS Codes	38	22	3
Lexicon Utility	Clinical Reminders	1	1	1
Lexicon Utility	DRG Grouper	160	47	4
Lexicon Utility	Kernel	1397	410	8
Lexicon Utility	Lexicon Utility	1231	337	241
Lexicon Utility	MailMan	15	14	3
Lexicon Utility	Order Entry Results Reporting	1	1	1
Lexicon Utility	Problem List	1	1	1
Lexicon Utility	Registration	1	1	1
Lexicon Utility	Toolkit	5	4	2
Lexicon Utility	VA FileMan	767	393	19
Library	Kernel	3	1	2
Library	MailMan	1	1	1
Library	VA FileMan	4	1	3
Lighthouse	Kernel	1	1	1
List Manager	Kernel	63	19	17
List Manager	List Manager	89	18	18
List Manager	MailMan	1	1	1
List Manager	Order Entry Results Reporting	4	2	4
List Manager	VA FileMan	49	23	11
M XML Parser	Kernel	4	2	3
M XML Parser	M XML Parser	31	4	3
M XML Parser	VA FileMan	1	1	1
MASH Utilities	Kernel	1	1	1
MASH Utilities	VA FileMan	6	2	5
MCCR Backbilling	Registration	3	2	3
MCCR Backbilling	VA FileMan	5	2	4
MailMan	Authorization Subscription	2	2	1
MailMan	Imaging	1	1	1
MailMan	Kernel	229	115	19
MailMan	MailMan	1575	218	167
MailMan	Toolkit	1	1	1
MailMan	VA FileMan	584	198	22
Master Patient Index VistA	Clinical Information Resource Network	82	29	4
Master Patient Index VistA	Fee Basis	1	1	1
Master Patient Index VistA	Health Level Seven	65	31	9
Master Patient Index VistA	Kernel	122	54	9
Master Patient Index VistA	List Manager	8	4	3
Master Patient Index VistA	M XML Parser	4	4	1
Master Patient Index VistA	MailMan	7	7	1
Master Patient Index VistA	Master Patient Index VistA	235	62	36
Master Patient Index VistA	Outpatient Pharmacy	1	1	1
Master Patient Index VistA	PCE Patient Care Encounter	2	1	1
Master Patient Index VistA	RPC Broker	13	5	2
Master Patient Index VistA	Registration	136	55	18
Master Patient Index VistA	Scheduling	9	1	2
Master Patient Index VistA	Toolkit	2	2	1
Master Patient Index VistA	VA FileMan	107	45	13
Master Patient Index VistA	Web Services Client	5	2	1
Medical Health E-Screening	Kernel	3	1	2
Medicine	Adverse Reaction Tracking	3	3	2
Medicine	Clinical Procedures	1	1	1
Medicine	DRG Grouper	7	2	1
Medicine	Enterprise Health Management Platform	1	1	1
Medicine	Health Level Seven	6	4	2
Medicine	Inpatient Medications	1	1	1
Medicine	Kernel	60	44	8
Medicine	MailMan	12	9	5
Medicine	Medicine	651	189	217
Medicine	Outpatient Pharmacy	3	1	3
Medicine	Registration	45	25	2
Medicine	Toolkit	2	2	1
Medicine	VA FileMan	649	241	24
Mental Health	Clinical Reminders	8	3	2
Mental Health	DRG Grouper	14	9	2
Mental Health	Health Level Seven	17	5	7
Mental Health	Kernel	378	172	30
Mental Health	Lab Service	3	3	1
Mental Health	Lexicon Utility	5	2	2
Mental Health	List Manager	3	1	2
Mental Health	MailMan	26	26	4
Mental Health	Master Patient Index VistA	2	2	1
Mental Health	Mental Health	1062	376	278
Mental Health	Order Entry Results Reporting	5	4	4
Mental Health	Outpatient Pharmacy	3	3	3
Mental Health	PCE Patient Care Encounter	2	2	1
Mental Health	Pharmacy Data Management	8	4	3
Mental Health	RPC Broker	1	1	1
Mental Health	Registration	88	58	13
Mental Health	Scheduling	3	3	1
Mental Health	Text Integration Utility	27	13	10
Mental Health	Toolkit	57	33	3
Mental Health	VA FileMan	672	287	28
Mental Health	Virtual Patient Record	2	1	1
Methicillin Resistant Staph Aurerus Initiative Reports	Kernel	37	13	4
Methicillin Resistant Staph Aurerus Initiative Reports	Lab Service	5	3	2
Methicillin Resistant Staph Aurerus Initiative Reports	MailMan	1	1	1
Methicillin Resistant Staph Aurerus Initiative Reports	Methicillin Resistant Staph Aurerus Initiative Reports	36	10	11
Methicillin Resistant Staph Aurerus Initiative Reports	Order Entry Results Reporting	3	3	1
Methicillin Resistant Staph Aurerus Initiative Reports	Registration	21	9	4
Methicillin Resistant Staph Aurerus Initiative Reports	VA FileMan	33	12	9
Micom	Micom	9	7	3
Micom	VA FileMan	16	8	8
Mobile Mental Health Program	Kernel	2	1	2
Mobile Scheduling Applications Suite	Consult Request Tracking	1	1	1
Mobile Scheduling Applications Suite	Kernel	16	12	3
Mobile Scheduling Applications Suite	List Manager	1	1	1
Mobile Scheduling Applications Suite	Mobile Scheduling Applications Suite	108	16	20
Mobile Scheduling Applications Suite	Registration	4	2	2
Mobile Scheduling Applications Suite	Scheduling	21	4	12
Mobile Scheduling Applications Suite	VA FileMan	45	21	8
My HealtheVet	Accounts Receivable	2	1	1
My HealtheVet	Adverse Reaction Tracking	2	1	2
My HealtheVet	CPT HCPCS Codes	1	1	1
My HealtheVet	Clinical Reminders	1	1	1
My HealtheVet	DRG Grouper	1	1	1
My HealtheVet	Event Capture	4	2	4
My HealtheVet	General Medical Record - Vitals	1	1	1
My HealtheVet	Health Level Seven	9	6	5
My HealtheVet	Health Summary	5	5	5
My HealtheVet	Kernel	90	56	7
My HealtheVet	MailMan	3	3	1
My HealtheVet	Master Patient Index VistA	10	8	2
My HealtheVet	Medicine	1	1	1
My HealtheVet	My HealtheVet	286	84	29
My HealtheVet	National Drug File	2	2	1
My HealtheVet	Order Entry Results Reporting	4	3	2
My HealtheVet	Outpatient Pharmacy	24	6	11
My HealtheVet	PCE Patient Care Encounter	1	1	1
My HealtheVet	Pharmacy Data Management	2	2	1
My HealtheVet	Problem List	3	2	1
My HealtheVet	Radiology Nuclear Medicine	1	1	1
My HealtheVet	Registration	22	14	4
My HealtheVet	Scheduling	6	3	4
My HealtheVet	Text Integration Utility	2	2	1
My HealtheVet	VA FileMan	87	44	13
NDBI	Kernel	1	1	1
NDBI	Registration	1	1	1
NDBI	VA FileMan	6	2	4
National Drug File	Adverse Reaction Tracking	4	4	1
National Drug File	CMOP	2	2	1
National Drug File	Health Data and Informatics	2	2	1
National Drug File	Kernel	127	51	13
National Drug File	MailMan	16	16	2
National Drug File	National Drug File	208	53	46
National Drug File	Pharmacy Data Management	13	7	5
National Drug File	Registration	5	5	2
National Drug File	VA FileMan	267	103	17
National Drug File	Web Services Client	4	1	1
National Health Information Network	Adverse Reaction Tracking	2	1	2
National Health Information Network	CPT HCPCS Codes	6	3	2
National Health Information Network	DRG Grouper	2	1	1
National Health Information Network	General Medical Record - Vitals	2	1	2
National Health Information Network	Health Summary	1	1	1
National Health Information Network	Kernel	22	12	7
National Health Information Network	Lab Service	4	3	2
National Health Information Network	Master Patient Index VistA	2	2	1
National Health Information Network	National Drug File	2	1	2
National Health Information Network	National Health Information Network	53	17	6
National Health Information Network	Order Entry Results Reporting	3	2	1
National Health Information Network	Outpatient Pharmacy	8	3	3
National Health Information Network	PCE Patient Care Encounter	3	3	2
National Health Information Network	Pharmacy Data Management	4	3	3
National Health Information Network	Problem List	2	1	1
National Health Information Network	Radiology Nuclear Medicine	3	2	2
National Health Information Network	Registration	12	3	7
National Health Information Network	Scheduling	3	2	2
National Health Information Network	Surgery	3	2	1
National Health Information Network	Text Integration Utility	4	2	2
National Health Information Network	VA FileMan	36	18	7
National Laboratory Test	VA FileMan	7	3	4
National Online Information Sharing	Kernel	104	70	6
National Online Information Sharing	List Manager	32	27	3
National Online Information Sharing	MailMan	8	4	4
National Online Information Sharing	National Online Information Sharing	736	154	154
National Online Information Sharing	VA FileMan	157	96	13
National VistA Support	Kernel	4	2	3
National VistA Support	MailMan	2	2	1
Network Health Exchange	Health Summary	1	1	1
Network Health Exchange	Kernel	29	11	7
Network Health Exchange	MailMan	25	12	7
Network Health Exchange	Network Health Exchange	11	8	6
Network Health Exchange	Registration	1	1	1
Network Health Exchange	VA FileMan	32	13	8
New Mexico HCS	VA FileMan	1	1	1
Nursing Service	Adverse Reaction Tracking	1	1	1
Nursing Service	Dietetics	1	1	1
Nursing Service	General Medical Record - Generator	34	20	10
Nursing Service	General Medical Record - IO	16	4	9
Nursing Service	General Medical Record - Vitals	18	5	12
Nursing Service	Health Summary	2	1	1
Nursing Service	Kernel	112	100	6
Nursing Service	MailMan	1	1	1
Nursing Service	Nursing Service	1341	225	164
Nursing Service	Registration	32	28	2
Nursing Service	VA FileMan	452	187	31
ODS	MailMan	2	1	2
ODS	ODS	34	15	14
ODS	Registration	3	2	3
ODS	VA FileMan	82	25	19
Occurrence Screen	Clinical Monitoring System	2	2	2
Occurrence Screen	MailMan	3	2	2
Occurrence Screen	Occurrence Screen	83	44	37
Occurrence Screen	Quality Assurance Integration	62	39	6
Occurrence Screen	Registration	9	6	2
Occurrence Screen	VA FileMan	248	75	16
Old DMMS	Old DMMS	18	12	5
Old DMMS	VA FileMan	16	5	8
Oncology	DRG Grouper	3	2	2
Oncology	General Medical Record - Vitals	2	2	1
Oncology	Kernel	77	50	12
Oncology	M XML Parser	12	3	2
Oncology	MailMan	6	4	3
Oncology	Master Patient Index VistA	2	2	1
Oncology	Oncology	1262	372	325
Oncology	Problem List	1	1	1
Oncology	Registration	9	6	2
Oncology	VA FileMan	856	366	23
Oncology	Web Services Client	10	2	1
Order Entry Results Reporting	Adverse Reaction Tracking	15	9	7
Order Entry Results Reporting	Authorization Subscription	8	8	1
Order Entry Results Reporting	Automated Information Collection System	1	1	1
Order Entry Results Reporting	Barcode Medication Administration	4	3	3
Order Entry Results Reporting	CORBA Services	15	14	1
Order Entry Results Reporting	CPT HCPCS Codes	7	6	3
Order Entry Results Reporting	Care Management	3	3	1
Order Entry Results Reporting	Clinical Case Registries	4	2	1
Order Entry Results Reporting	Clinical Reminders	57	22	27
Order Entry Results Reporting	Consult Request Tracking	67	20	26
Order Entry Results Reporting	DRG Grouper	44	23	2
Order Entry Results Reporting	Dietetics	29	16	9
Order Entry Results Reporting	Emergency Department Integration Software	2	1	1
Order Entry Results Reporting	Event Capture	1	1	1
Order Entry Results Reporting	General Medical Record - Vitals	15	9	7
Order Entry Results Reporting	Health Data and Informatics	2	1	2
Order Entry Results Reporting	Health Level Seven	6	3	6
Order Entry Results Reporting	Health Summary	18	10	10
Order Entry Results Reporting	Inpatient Medications	46	29	12
Order Entry Results Reporting	Integrated Billing	10	10	3
Order Entry Results Reporting	Kernel	1308	545	43
Order Entry Results Reporting	Lab Service	93	35	26
Order Entry Results Reporting	Lexicon Utility	43	14	7
Order Entry Results Reporting	List Manager	109	52	3
Order Entry Results Reporting	M XML Parser	2	1	2
Order Entry Results Reporting	MailMan	95	84	9
Order Entry Results Reporting	Master Patient Index VistA	8	8	1
Order Entry Results Reporting	Medicine	6	5	2
Order Entry Results Reporting	Mental Health	9	5	6
Order Entry Results Reporting	National Drug File	11	5	4
Order Entry Results Reporting	Order Entry Results Reporting	4666	1065	989
Order Entry Results Reporting	Outpatient Pharmacy	53	38	20
Order Entry Results Reporting	PCE Patient Care Encounter	51	19	16
Order Entry Results Reporting	Pharmacy Data Management	134	63	27
Order Entry Results Reporting	Problem List	33	13	12
Order Entry Results Reporting	RPC Broker	4	4	2
Order Entry Results Reporting	Radiology Nuclear Medicine	24	17	6
Order Entry Results Reporting	Registration	183	128	29
Order Entry Results Reporting	Scheduling	62	27	14
Order Entry Results Reporting	Surgery	5	2	2
Order Entry Results Reporting	Text Integration Utility	108	38	42
Order Entry Results Reporting	Toolkit	511	320	4
Order Entry Results Reporting	VA FileMan	1393	664	26
Order Entry Results Reporting	VBECS	19	8	7
Order Entry Results Reporting	Web Services Client	14	5	1
Order Entry Results Reporting	Womens Health	5	4	4
Outpatient Pharmacy	Adverse Reaction Tracking	30	26	4
Outpatient Pharmacy	CMOP	16	15	8
Outpatient Pharmacy	Clinical Reminders	6	3	3
Outpatient Pharmacy	Controlled Substances	1	1	1
Outpatient Pharmacy	DRG Grouper	9	6	3
Outpatient Pharmacy	E Claims Management Engine	77	29	18
Outpatient Pharmacy	Enterprise Terminology Services	2	2	1
Outpatient Pharmacy	Fee Basis	1	1	1
Outpatient Pharmacy	General Medical Record - Vitals	8	8	1
Outpatient Pharmacy	Health Level Seven	44	22	6
Outpatient Pharmacy	Health Summary	6	6	2
Outpatient Pharmacy	Inpatient Medications	20	17	12
Outpatient Pharmacy	Integrated Billing	61	37	9
Outpatient Pharmacy	Kernel	984	404	36
Outpatient Pharmacy	List Manager	338	171	6
Outpatient Pharmacy	M XML Parser	20	20	1
Outpatient Pharmacy	MailMan	82	78	4
Outpatient Pharmacy	Master Patient Index VistA	8	6	2
Outpatient Pharmacy	Mental Health	8	4	3
Outpatient Pharmacy	National Drug File	41	32	6
Outpatient Pharmacy	Order Entry Results Reporting	98	65	21
Outpatient Pharmacy	Outpatient Pharmacy	4778	664	612
Outpatient Pharmacy	Pharmacy Benefits Management	3	3	2
Outpatient Pharmacy	Pharmacy Data Management	277	136	22
Outpatient Pharmacy	Registration	273	182	21
Outpatient Pharmacy	Scheduling	21	11	6
Outpatient Pharmacy	Text Integration Utility	12	8	8
Outpatient Pharmacy	Toolkit	22	18	5
Outpatient Pharmacy	VA FileMan	2353	758	34
Outpatient Pharmacy	VDEF	5	4	4
Outpatient Pharmacy	Web Services Client	14	9	1
Outpatient Pharmacy	Womens Health	4	4	2
PAID	Health Level Seven	1	1	1
PAID	Kernel	159	117	14
PAID	List Manager	32	10	5
PAID	MailMan	23	21	5
PAID	Nursing Service	1	1	1
PAID	PAID	1520	359	242
PAID	Quality Assurance Integration	4	4	1
PAID	Registration	5	5	2
PAID	VA FileMan	811	292	25
PCE Patient Care Encounter	Automated Information Collection System	4	4	1
PCE Patient Care Encounter	CPT HCPCS Codes	42	34	3
PCE Patient Care Encounter	Clinical Reminders	18	10	6
PCE Patient Care Encounter	DRG Grouper	60	43	4
PCE Patient Care Encounter	General Medical Record - Vitals	3	2	2
PCE Patient Care Encounter	Health Data and Informatics	4	2	3
PCE Patient Care Encounter	Health Level Seven	1	1	1
PCE Patient Care Encounter	Integrated Billing	9	7	1
PCE Patient Care Encounter	Kernel	352	169	26
PCE Patient Care Encounter	Lexicon Utility	43	35	6
PCE Patient Care Encounter	List Manager	52	24	3
PCE Patient Care Encounter	M XML Parser	2	2	1
PCE Patient Care Encounter	MailMan	24	21	6
PCE Patient Care Encounter	Master Patient Index VistA	2	1	1
PCE Patient Care Encounter	National Drug File	5	1	2
PCE Patient Care Encounter	Order Entry Results Reporting	4	4	3
PCE Patient Care Encounter	Outpatient Pharmacy	1	1	1
PCE Patient Care Encounter	PCE Patient Care Encounter	1494	320	328
PCE Patient Care Encounter	Problem List	5	5	1
PCE Patient Care Encounter	Registration	65	38	12
PCE Patient Care Encounter	Scheduling	66	22	24
PCE Patient Care Encounter	Toolkit	21	17	4
PCE Patient Care Encounter	VA FileMan	672	273	26
PCE Patient Care Encounter	Virtual Patient Record	1	1	1
Palo Alto HCS	Authorization Subscription	1	1	1
Palo Alto HCS	Dietetics	4	2	2
Palo Alto HCS	Health Summary	3	3	2
Palo Alto HCS	Inpatient Medications	3	3	1
Palo Alto HCS	Kernel	3	3	1
Palo Alto HCS	List Manager	6	4	3
Palo Alto HCS	MailMan	6	3	2
Palo Alto HCS	Outpatient Pharmacy	4	4	1
Palo Alto HCS	Palo Alto HCS	2	2	1
Palo Alto HCS	Problem List	3	3	1
Palo Alto HCS	Registration	4	2	1
Palo Alto HCS	Text Integration Utility	21	4	12
Palo Alto HCS	VA FileMan	15	6	5
Patient Assessment Documentation	Adverse Reaction Tracking	1	1	1
Patient Assessment Documentation	Authorization Subscription	1	1	1
Patient Assessment Documentation	General Medical Record - Vitals	3	1	3
Patient Assessment Documentation	Kernel	3	2	1
Patient Assessment Documentation	Lab Service	4	1	2
Patient Assessment Documentation	Order Entry Results Reporting	1	1	1
Patient Assessment Documentation	Outpatient Pharmacy	2	2	1
Patient Assessment Documentation	Patient Assessment Documentation	5	2	3
Patient Assessment Documentation	Scheduling	1	1	1
Patient Assessment Documentation	Toolkit	2	1	1
Patient Assessment Documentation	VA FileMan	34	8	8
Patient Data Exchange	Adverse Reaction Tracking	1	1	1
Patient Data Exchange	Health Summary	1	1	1
Patient Data Exchange	Integrated Billing	6	3	4
Patient Data Exchange	Kernel	40	21	7
