routine_name	package	source_path	line_count	byte_size	first_line_comment	version_line	tag_count	comment_line_count	is_percent_routine
A1AAE2	Albany OIFO	/opt/VistA-M/Packages/Albany OIFO/Routines/A1AAE2.m	56	3216	A1AAE2 ;1/18/89;ECF;ALBANY ISC		17	0	N
A1AAE3	Albany OIFO	/opt/VistA-M/Packages/Albany OIFO/Routines/A1AAE3.m	56	3305	A1AAE2 ;1/18/89;ECF;ALBANY ISC		17	0	N
A1AIDATA	Albany OIFO	/opt/VistA-M/Packages/Albany OIFO/Routines/A1AIDATA.m	16	676	A1AIDATA ;NP/ISC ALBANY; 11-3-87; 10:40am; Validate data extracted from site Equipment log globals.  Routine is calle...		4	8	N
A1AIEXT	Albany OIFO	/opt/VistA-M/Packages/Albany OIFO/Routines/A1AIEXT.m	23	912	A1AIEXT ;NP+BT;ALB ISC; 1/12/88; 10:50am; routine to extract good data from UTILITY GLOBAL after tape extraction (ISC...	;;Version 1.0	8	1	N
A1AIFD	Albany OIFO	/opt/VistA-M/Packages/Albany OIFO/Routines/A1AIFD.m	15	917	A1AIFD ;test for reading of file descriptor nodes in ^DIZ(11200,		4	1	N
A1AIGC	Albany OIFO	/opt/VistA-M/Packages/Albany OIFO/Routines/A1AIGC.m	80	3859	A1AIGC ;BT + NP/ALB-ISC; 11-4-87 @ 9:10AM; checks validity of extracted nodes; NOTE:  ISC USE ONLY!	;;Version 1.0	25	1	N
A1AJAS	Albany OIFO	/opt/VistA-M/Packages/Albany OIFO/Routines/A1AJAS.m	33	1063	A1AJAS ;isa\jas        routine to capture job totals and send to me via Exchange [10/28/09 8:28am]		3	2	N
A1AJASN	Albany OIFO	/opt/VistA-M/Packages/Albany OIFO/Routines/A1AJASN.m	18	439	A1AJASN ;isa\jas   TELL ME WHAT NODE		2	2	N
A1AT1	Albany OIFO	/opt/VistA-M/Packages/Albany OIFO/Routines/A1AT1.m	40	1623	A1AT1 ; TRAVEL PACKAGE ; JCK/ALB ; 20 MAY 87		9	15	N
A1AT2	Albany OIFO	/opt/VistA-M/Packages/Albany OIFO/Routines/A1AT2.m	56	2649	A1AT2 ; TRAVEL PACKAGE ; JCK/ALB ; 20 MAY 87		10	18	N
A1AT3	Albany OIFO	/opt/VistA-M/Packages/Albany OIFO/Routines/A1AT3.m	56	2661	A1AT3 ; TRAVEL PACKAGE ; JCK/ALB ; 20 MAY 87		10	18	N
A1ATRAT	Albany OIFO	/opt/VistA-M/Packages/Albany OIFO/Routines/A1ATRAT.m	22	959	A1ATRAT ;TRAVEL PACKAGE ; JCK/ALB ; 8 JUNE 87		8	10	N
A1ATRAT2	Albany OIFO	/opt/VistA-M/Packages/Albany OIFO/Routines/A1ATRAT2.m	22	966	A1ATRAT2 ;TRAVEL PACKAGE ; JCK/ALB ; 8 APRIL 88		8	10	N
A1ATSUM	Albany OIFO	/opt/VistA-M/Packages/Albany OIFO/Routines/A1ATSUM.m	22	925	A1ATSUM ;TRAVEL PACKAGE ; JCK/ALB ; 20 MAY 87		8	10	N
A1ATSUM2	Albany OIFO	/opt/VistA-M/Packages/Albany OIFO/Routines/A1ATSUM2.m	22	932	A1ATSUM2 ;TRAVEL PACKAGE ; JCK/ALB ; 8 APRIL 88		8	10	N
A1AVLABL	Albany OIFO	/opt/VistA-M/Packages/Albany OIFO/Routines/A1AVLABL.m	23	903	A1AVLABL ;ISC1/JSH - LABEL FOR PATCH BUCK SLIP ; 09 MAR 90	;;V1.0	4	7	N
A1AVPATC	Albany OIFO	/opt/VistA-M/Packages/Albany OIFO/Routines/A1AVPATC.m	15	1093	A1AVPATC ;ISC1/JSH - TO LOG PATCHES ;11/16/92  13:25	;;1.0;10 JUNE 90;	5	1	N
A1AVSRCH	Albany OIFO	/opt/VistA-M/Packages/Albany OIFO/Routines/A1AVSRCH.m	22	2141	A1AVSRCH ;ISC1/JSH - SEARCHING INI ROUTINES FOR ITEMS ; 29 APRIL 91	;;V1	2	2	N
A1AXAC	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXAC.m	17	463	A1AXAC ;SLL/ALB ISC; Action Plan Report ;1/15/88	;;VERSION 1.0	5	2	N
A1AXACD	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXACD.m	66	3359	A1AXACD ; GENERATED FROM 'A1AX PACD' PRINT TEMPLATE (#1476) ; 06/10/88 ; (FILE 11830, MARGIN=132)		15	0	N
A1AXACF	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXACF.m	65	3351	A1AXACF ; GENERATED FROM 'A1AX PACF' PRINT TEMPLATE (#1474) ; 06/10/88 ; (FILE 11830, MARGIN=132)		15	0	N
A1AXACO	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXACO.m	65	3348	A1AXACO ; GENERATED FROM 'A1AX PACO' PRINT TEMPLATE (#1475) ; 06/10/88 ; (FILE 11830, MARGIN=132)		15	0	N
A1AXAPCO	Ext Rev Track	/opt/VistA-M/Packages/Ext Rev Track/Routines/A1AXAPCO.m	29	1463	A1AXAPCO ;SLL/ALB ISC; Action Plan CO Approved/Disapproved Triggered Message;1/20/88	;;VERSION 1.0	6	2	N
