routine	entry_index	line_text	tag_offset	error_text
AJK1UBTN	1	1	AJK1UBTN	S - First line of routine violates the SAC.
AJK1UBTN	2	37	LOCK+2	S - Non-Incremental Lock.
AJK1UBTN	3	47	LOCK+12	S - Non-Incremental Lock.
AJK1UBTR	1	1	AJK1UBTR	S - First line of routine violates the SAC.
AJK1UBTS	1	1	AJK1UBTS	S - First line of routine violates the SAC.
AJK1UBTS	2	32	LOCK+2	S - Non-Incremental Lock.
AJK1UBTS	3	40	LOCK+10	S - Non-Incremental Lock.
AJK1UBTU	1	1	AJK1UBTU	S - First line of routine violates the SAC.
AJK1UBVR	1	1	AJK1UBVR	S - First line of routine violates the SAC.
AJK1UBX	1	1	AJK1UBX	S - First line of routine violates the SAC.
AJK1UBX1	1	1	AJK1UBX1	S - First line of routine violates the SAC.
AJK1UBX2	1	1	AJK1UBX2	S - First line of routine violates the SAC.
AJK1UBXE	1	1	AJK1UBXE	S - First line of routine violates the SAC.
ALPBBK	1	1	ALPBBK	S - First line of routine violates the SAC.
ALPBELOG	1	1	ALPBELOG	S - First line of routine violates the SAC.
ALPBFRM2	1	1	ALPBFRM2	S - First line of routine violates the SAC.
ALPBFRMU	1	1	ALPBFRMU	S - First line of routine violates the SAC.
ALPBHL1	1	1	ALPBHL1	S - First line of routine violates the SAC.
ALPBHL1U	1	1	ALPBHL1U	S - First line of routine violates the SAC.
ALPBPALL	1	1	ALPBPALL	S - First line of routine violates the SAC.
ALPBPCLN	1	1	ALPBPCLN	S - First line of routine violates the SAC.
ALPBPPAT	1	1	ALPBPPAT	S - First line of routine violates the SAC.
ALPBPWRD	1	1	ALPBPWRD	S - First line of routine violates the SAC.
ALPBSP1	1	1	ALPBSP1	S - First line of routine violates the SAC.
ALPBSP2	1	1	ALPBSP2	S - First line of routine violates the SAC.
ALPBSPAT	1	1	ALPBSPAT	S - First line of routine violates the SAC.
ALPBSWRD	1	1	ALPBSWRD	S - First line of routine violates the SAC.
ALPBUTL	1	1	ALPBUTL	S - First line of routine violates the SAC.
ALPBUTL1	1	1	ALPBUTL1	S - First line of routine violates the SAC.
ALPBUTL2	1	1	ALPBUTL2	S - First line of routine violates the SAC.
ALPBUTL3	1	1	ALPBUTL3	S - First line of routine violates the SAC.
ANRVAM1	1	2	ANRVAM1+2	S - 2nd line of routine violates the SAC.
ANRVAM2	1	2	ANRVAM2+2	S - 2nd line of routine violates the SAC.
ANRVAP	1	2	ANRVAP+2	S - 2nd line of routine violates the SAC.
ANRVDEL	1	2	ANRVDEL+2	S - 2nd line of routine violates the SAC.
ANRVIENV	1	2	ANRVIENV+2	S - 2nd line of routine violates the SAC.
ANRVIPST	1	2	ANRVIPST+2	S - 2nd line of routine violates the SAC.
ANRVLET	1	2	ANRVLET+2	S - 2nd line of routine violates the SAC.
ANRVML	1	2	ANRVML+2	S - 2nd line of routine violates the SAC.
ANRVML1	1	2	ANRVML1+2	S - 2nd line of routine violates the SAC.
ANRVML2	1	2	ANRVML2+2	S - 2nd line of routine violates the SAC.
ANRVML3	1	2	ANRVML3+2	S - 2nd line of routine violates the SAC.
ANRVML4	1	2	ANRVML4+2	S - 2nd line of routine violates the SAC.
ANRVPOST	1	2	ANRVPOST+2	S - 2nd line of routine violates the SAC.
ANRVPR	1	2	ANRVPR+2	S - 2nd line of routine violates the SAC.
