file_number	piks	piks_method	piks_confidence	piks_evidence
0	S	H-02	certain	file#=0
.001	S	H-02	certain	file#=.001
.007	S	H-02	certain	file#=.007
.008	S	H-02	certain	file#=.008
.009	S	H-02	certain	file#=.009
.1	S	H-02	certain	file#=.1
.101	S	H-02	certain	file#=.101
.10101	S	H-02	certain	file#=.10101
.10201	S	H-02	certain	file#=.10201
.11	S	H-02	certain	file#=.11
.1101	S	H-02	certain	file#=.1101
.111	S	H-02	certain	file#=.111
.112	S	H-02	certain	file#=.112
.114	S	H-02	certain	file#=.114
.12	S	H-02	certain	file#=.12
.15	S	H-02	certain	file#=.15
.2	S	H-02	certain	file#=.2
.21	S	H-02	certain	file#=.21
.3	S	H-02	certain	file#=.3
.31	S	H-02	certain	file#=.31
.312	S	H-02	certain	file#=.312
.4	S	H-02	certain	file#=.4
.4001	S	H-02	certain	file#=.4001
.401	S	H-02	certain	file#=.401
.4011	S	H-02	certain	file#=.4011
.4011624	S	H-02	certain	file#=.4011624
.4012	S	H-02	certain	file#=.4012
.4014	S	H-02	certain	file#=.4014
.40141	S	H-02	certain	file#=.40141
.401418	S	H-02	certain	file#=.401418
.401419	S	H-02	certain	file#=.401419
.402	S	H-02	certain	file#=.402
.4021	S	H-02	certain	file#=.4021
.403	S	H-02	certain	file#=.403
.4031	S	H-02	certain	file#=.4031
.403115	S	H-02	certain	file#=.403115
.40315	S	H-02	certain	file#=.40315
.4032	S	H-02	certain	file#=.4032
.404	S	H-02	certain	file#=.404
.40415	S	H-02	certain	file#=.40415
.4044	S	H-02	certain	file#=.4044
.404421	S	H-02	certain	file#=.404421
.41	S	H-02	certain	file#=.41
.411	S	H-02	certain	file#=.411
.42	S	H-02	certain	file#=.42
.44	S	H-02	certain	file#=.44
.441	S	H-02	certain	file#=.441
.4411	S	H-02	certain	file#=.4411
.447	S	H-02	certain	file#=.447
.448	S	H-02	certain	file#=.448
.46	S	H-02	certain	file#=.46
.461	S	H-02	certain	file#=.461
.463	S	H-02	certain	file#=.463
.5	S	H-02	certain	file#=.5
.6	S	H-02	certain	file#=.6
.601	S	H-02	certain	file#=.601
.602	S	H-02	certain	file#=.602
.7	S	H-02	certain	file#=.7
.81	S	H-02	certain	file#=.81
.81101	S	H-02	certain	file#=.81101
.81201	S	H-02	certain	file#=.81201
.8121	S	H-02	certain	file#=.8121
.81215	S	H-02	certain	file#=.81215
.83	S	H-02	certain	file#=.83
.84	S	H-02	certain	file#=.84
.841	S	H-02	certain	file#=.841
.842	S	H-02	certain	file#=.842
.844	S	H-02	certain	file#=.844
.845	S	H-02	certain	file#=.845
.847	S	H-02	certain	file#=.847
.8471	S	H-02	certain	file#=.8471
.85	S	H-02	certain	file#=.85
.8501	S	H-02	certain	file#=.8501
.8502	S	H-02	certain	file#=.8502
.86	S	H-02	certain	file#=.86
.861	S	H-02	certain	file#=.861
.87	S	H-02	certain	file#=.87
.871	S	H-02	certain	file#=.871
.9	S	H-02	certain	file#=.9
.901	S	H-02	certain	file#=.901
1	S	H-02	certain	file#=1
1.001	S	H-02	certain	file#=1.001
1.005	S	H-02	certain	file#=1.005
1.008	S	H-02	certain	file#=1.008
1.01	S	H-02	certain	file#=1.01
1.1	S	H-02	certain	file#=1.1
1.11	S	H-02	certain	file#=1.11
1.113	S	H-02	certain	file#=1.113
1.1132	S	H-02	certain	file#=1.1132
1.12	S	H-02	certain	file#=1.12
1.13	S	H-02	certain	file#=1.13
1.1321	S	H-02	certain	file#=1.1321
1.14	S	H-02	certain	file#=1.14
1.2	S	H-02	certain	file#=1.2
1.207	S	H-02	certain	file#=1.207
1.5	S	H-02	certain	file#=1.5
1.51	S	H-02	certain	file#=1.51
1.513	S	H-02	certain	file#=1.513
1.519	S	H-02	certain	file#=1.519
1.521	S	H-02	certain	file#=1.521
1.52101	S	H-02	certain	file#=1.52101
1.5211	S	H-02	certain	file#=1.5211
1.5212	S	H-02	certain	file#=1.5212
1.5213	S	H-02	certain	file#=1.5213
1.5214	S	H-02	certain	file#=1.5214
1.5215	S	H-02	certain	file#=1.5215
1.5216	S	H-02	certain	file#=1.5216
1.5217	S	H-02	certain	file#=1.5217
1.5218	S	H-02	certain	file#=1.5218
1.5219	S	H-02	certain	file#=1.5219
1.52191	S	H-02	certain	file#=1.52191
1.52192	S	H-02	certain	file#=1.52192
1.6	S	H-02	certain	file#=1.6
1.601	S	H-02	certain	file#=1.601
1.6011	S	H-02	certain	file#=1.6011
1.602	S	H-02	certain	file#=1.602
1.603	S	H-02	certain	file#=1.603
1.605	S	H-02	certain	file#=1.605
1.61	S	H-02	certain	file#=1.61
1.615	S	H-02	certain	file#=1.615
1.62	S	H-02	certain	file#=1.62
1.622	S	H-02	certain	file#=1.622
1.71	S	H-02	certain	file#=1.71
1.711	S	H-02	certain	file#=1.711
1.7111	S	H-02	certain	file#=1.7111
1.72	S	H-02	certain	file#=1.72
1.721	S	H-02	certain	file#=1.721
2	P	H-01	certain	global=
2.001	P	H-05	certain	inherits from 2
2.01	P	H-05	certain	inherits from 2
2.011	P	H-05	certain	inherits from 2.001
2.02	P	H-05	certain	inherits from 2
2.025	P	H-05	certain	inherits from 2
2.0361	P	H-05	certain	inherits from 2
2.04	P	H-05	certain	inherits from 2
2.05	P	H-05	certain	inherits from 2
2.0534	P	H-05	certain	inherits from 2
2.0537026	P	H-05	certain	inherits from 2
2.0537041	P	H-05	certain	inherits from 2
2.0537042	P	H-05	certain	inherits from 2
2.06	P	H-05	certain	inherits from 2
2.07	P	H-05	certain	inherits from 2
2.0991	P	H-05	certain	inherits from 2
2.0992	I	H-08	high	has ptr to file 4; no ptr to file 2
2.0993	P	H-05	certain	inherits from 2
2.101	P	H-05	certain	inherits from 2
2.11	P	H-05	certain	inherits from 2
2.12	P	H-05	certain	inherits from 2
2.13	P	H-05	certain	inherits from 2.12
2.141	P	H-05	certain	inherits from 2
2.16	P	H-05	certain	inherits from 2
2.191	P	H-05	certain	inherits from 2
2.2406	P	H-05	certain	inherits from 2
2.2511	I	H-08	high	has ptr to file 4; no ptr to file 2
2.2512	I	H-08	high	has ptr to file 4; no ptr to file 2
2.312	P	H-05	certain	inherits from 2
2.31211	P	H-05	certain	inherits from 2.312
2.3129	P	H-05	certain	inherits from 2.312
2.3215	I	H-08	high	has ptr to file 4; no ptr to file 2
2.3216	P	H-05	certain	inherits from 2
2.322	P	H-05	certain	inherits from 2.312
2.3222	P	H-05	certain	inherits from 2.322
2.3226	P	H-05	certain	inherits from 2.322
2.3227	P	H-05	certain	inherits from 2.322
2.3228	P	H-05	certain	inherits from 2.322
2.3229	P	H-05	certain	inherits from 2.322
2.32291	P	H-05	certain	inherits from 2.322
2.32292	P	H-05	certain	inherits from 2.322
2.332	P	H-05	certain	inherits from 2.312
2.342	P	H-05	certain	inherits from 2.312
2.396	P	H-05	certain	inherits from 2
2.397	P	H-05	certain	inherits from 2
2.398	P	H-05	certain	inherits from 2
2.399	I	H-08	high	has ptr to file 4; no ptr to file 2
2.401	P	H-05	certain	inherits from 2
2.409	I	H-05	certain	inherits from 2.399
2.5370262	P	H-05	certain	inherits from 2.0537026
2.98	P	H-05	certain	inherits from 2
3.05	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
3.051	I	H-05	certain	inherits from 3.05
3.07	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
3.075	S	H-21	low	name contains S-pattern
3.0751	S	H-05	certain	inherits from 3.075
3.0752	S	H-05	certain	inherits from 3.0751
3.076	S	H-21	low	name contains S-pattern
3.0761	S	H-05	certain	inherits from 3.076
3.077	S	H-21	low	name contains S-pattern
3.07701	S	H-05	certain	inherits from 3.077
3.07702	S	H-05	certain	inherits from 3.077
3.077031	S	H-05	certain	inherits from 3.077
3.0775	S	H-05	certain	inherits from 3.077
3.079	S	H-21	low	name contains S-pattern
3.081	I	H-08	high	has ptr to file 4; no ptr to file 2
3.083	S	H-17	moderate	package=KERNEL (XU)
3.084	S	H-17	moderate	package=KERNEL (XU)
3.1	S	H-13	high	global=
3.2	K	H-20	low	name contains K-pattern
3.2055	K	H-05	certain	inherits from 3.2
3.206	K	H-05	certain	inherits from 3.2
3.207	K	H-05	certain	inherits from 3.2
3.22	K	H-20	low	name contains K-pattern
3.223	K	H-05	certain	inherits from 3.22
3.4	S	H-13	high	global=
3.41	S	H-05	certain	inherits from 3.4
3.5	S	H-21	low	name contains S-pattern
3.501	S	H-05	certain	inherits from 3.5
3.51	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
3.5121	I	H-05	certain	inherits from 3.51
3.5131	I	H-05	certain	inherits from 3.51
3.519	S	H-17	moderate	package=MAILMAN (XM)
3.5193	S	H-05	certain	inherits from 3.519
3.52	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
3.521	I	H-05	certain	inherits from 3.52
3.532	S	H-05	certain	inherits from 3.5
3.54	S	H-39	moderate	orphan: 0 ptrs in, 0 ptrs out
3.542	S	H-05	certain	inherits(prop) from 3.54
3.6	S	H-13	high	global=
3.61	S	H-05	certain	inherits from 3.6
3.62	S	H-05	certain	inherits from 3.6
3.63	S	H-05	certain	inherits from 3.6
3.64	S	H-05	certain	inherits from 3.6
3.65	S	H-05	certain	inherits from 3.64
3.7	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
3.701	I	H-05	certain	inherits from 3.7
3.702	I	H-05	certain	inherits from 3.701
3.703	I	H-05	certain	inherits from 3.7
3.704	I	H-05	certain	inherits from 3.7
3.705	I	H-05	certain	inherits from 3.7
3.706	I	H-05	certain	inherits from 3.7
3.715	I	H-05	certain	inherits from 3.7
3.7159	I	H-05	certain	inherits from 3.715
3.73	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
3.7519	S	H-05	certain	inherits from 3.0751
3.8	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
3.801	I	H-05	certain	inherits from 3.8
3.802	I	H-05	certain	inherits from 3.8
3.81	I	H-05	certain	inherits from 3.8
3.811	I	H-05	certain	inherits from 3.8
3.812	I	H-05	certain	inherits from 3.8
3.813	I	H-05	certain	inherits from 3.8
3.814	I	H-05	certain	inherits from 3.8
3.815	I	H-05	certain	inherits from 3.8
3.816	S	H-13	high	global=
3.8161	I	H-08	high	has ptr to file 4; no ptr to file 2
3.9	S	H-13	high	global=
3.9001	S	H-05	certain	inherits from 3.9
3.91	I	H-08	high	has ptr to file 4; no ptr to file 2
3.911	S	H-05	certain	inherits from 3.9
3.914	S	H-05	certain	inherits from 3.9
3.92	S	H-05	certain	inherits from 3.9
3.92005	S	H-05	certain	inherits from 3.9
4	I	H-04	certain	file=4 INSTITUTION
4.001	S	H-13	high	global=
4.005	S	H-13	high	global=
4.0051	S	H-05	certain	inherits from 4.005
4.00511	S	H-05	certain	inherits from 4.0051
4.009	S	H-13	high	global=
4.00999	S	H-05	certain	inherits from 4.009
4.011	S	H-05	certain	inherits from 4.001
4.014	I	H-08	high	has ptr to file 4; no ptr to file 2
4.03	I	H-05	certain	inherits from 4
4.042	I	H-05	certain	inherits from 4
4.043	I	H-05	certain	inherits from 4
4.05	S	H-13	high	global=
4.1	S	H-13	high	global=
4.11	S	H-13	high	global=
4.111	S	H-05	certain	inherits from 4.011
4.2	I	H-08	high	has ptr to file 4; no ptr to file 2
4.21	I	H-05	certain	inherits from 4.2
4.22	I	H-05	certain	inherits from 4.21
4.23	I	H-05	certain	inherits from 4.2
4.24	I	H-05	certain	inherits from 4.2
4.25	I	H-05	certain	inherits from 4.2
4.281	S	H-39	moderate	orphan: 0 ptrs in, 0 ptrs out
4.2812	S	H-05	certain	inherits(prop) from 4.281
4.299	I	H-05	certain	inherits from 4.21
4.2995	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
4.2996	S	H-13	high	global=
4.29961	S	H-05	certain	inherits from 4.2996
4.2997	S	H-17	moderate	package=MAILMAN (XM)
4.2998	S	H-17	moderate	package=MAILMAN (XM)
4.2999	I	H-08	high	has ptr to file 4; no ptr to file 2
4.29991	I	H-05	certain	inherits from 4.2999
4.29992	I	H-05	certain	inherits from 4.2999
4.3	I	H-08	high	has ptr to file 4; no ptr to file 2
4.302	I	H-05	certain	inherits from 4.3
4.31	I	H-08	high	has ptr to file 4; no ptr to file 2
4.32	I	H-05	certain	inherits from 4.3
4.324	I	H-05	certain	inherits from 4.3
4.33	I	H-05	certain	inherits from 4.3
4.34	I	H-05	certain	inherits from 4.3
4.341	I	H-05	certain	inherits from 4.3
4.37	I	H-05	certain	inherits from 4.3
4.4	S	H-13	high	global=
4.5	S	H-13	high	global=
4.501	S	H-17	moderate	package=MAILMAN (XM)
4.51	S	H-05	certain	inherits from 4.5
4.52	S	H-05	certain	inherits from 4.5
4.53	S	H-05	certain	inherits from 4.52
4.6	S	H-13	high	global=
4.61	S	H-05	certain	inherits from 4.6
4.62	S	H-05	certain	inherits from 4.6
4.999	I	H-08	high	has ptr to file 4; no ptr to file 2
4.9999	I	H-05	certain	inherits from 4
5	S	H-13	high	global=
5.01	S	H-05	certain	inherits from 5
5.02	S	H-05	certain	inherits from 5.01
5.11	K	H-20	low	name contains K-pattern
5.12	K	H-20	low	name contains K-pattern
5.13	K	H-20	low	name contains K-pattern
6.666	S	H-17	moderate	package=KERNEL (XU)
6.676	S	H-05	certain	inherits from 6.666
7	S	H-13	high	global=
7.1	S	H-13	high	global=
8	I	H-08	high	has ptr to file 4; no ptr to file 2
8.01	I	H-05	certain	inherits from 8
8.1	S	H-13	high	global=
8.2	S	H-13	high	global=
8.21	S	H-05	certain	inherits from 8.2
9.2	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
9.21	I	H-05	certain	inherits from 9.2
9.22	I	H-05	certain	inherits from 9.2
9.23	I	H-05	certain	inherits from 9.2
9.24	I	H-05	certain	inherits from 9.2
9.4	S	H-13	high	global=
9.4014	S	H-05	certain	inherits from 9.4
9.402	S	H-05	certain	inherits from 9.4
9.41	S	H-05	certain	inherits from 9.4
9.415007	S	H-05	certain	inherits from 9.4
9.432	S	H-05	certain	inherits from 9.4
9.44	S	H-05	certain	inherits from 9.4
9.45	S	H-05	certain	inherits from 9.44
9.46	S	H-05	certain	inherits from 9.4
9.47	S	H-05	certain	inherits from 9.4
9.48	S	H-05	certain	inherits from 9.4
9.485	S	H-05	certain	inherits from 9.4
9.49	S	H-05	certain	inherits from 9.4
9.4901	S	H-05	certain	inherits from 9.49
9.49011	S	H-05	certain	inherits from 9.4901
9.495	S	H-05	certain	inherits from 9.4
9.54	S	H-05	certain	inherits from 9.49
9.6	S	H-13	high	global=
9.61	S	H-05	certain	inherits from 9.6
9.611	S	H-05	certain	inherits from 9.6
9.62	S	H-05	certain	inherits from 9.6
9.623	S	H-05	certain	inherits from 9.62
9.626	S	H-05	certain	inherits from 9.62
9.63	S	H-05	certain	inherits from 9.6
9.64	S	H-05	certain	inherits from 9.6
9.641	S	H-05	certain	inherits from 9.64
9.6411	S	H-05	certain	inherits from 9.641
9.65	S	H-05	certain	inherits from 9.6
9.66	S	H-05	certain	inherits from 9.6
9.661	S	H-05	certain	inherits from 9.66
9.67	S	H-05	certain	inherits from 9.6
9.68	S	H-05	certain	inherits from 9.67
9.7	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
9.701	I	H-05	certain	inherits from 9.7
9.702	I	H-05	certain	inherits from 9.7
9.703	I	H-05	certain	inherits from 9.7
9.704	I	H-05	certain	inherits from 9.7
9.713	I	H-05	certain	inherits from 9.7
9.714	I	H-05	certain	inherits from 9.7
9.715	I	H-05	certain	inherits from 9.7
9.716	I	H-05	certain	inherits from 9.7
9.718	I	H-05	certain	inherits from 9.7
9.8	S	H-13	high	global=
9.801	S	H-05	certain	inherits from 9.8
9.802	S	H-05	certain	inherits from 9.801
9.803	S	H-05	certain	inherits from 9.8
9.804	S	H-05	certain	inherits from 9.8
9.805	S	H-05	certain	inherits from 9.8
9.806	S	H-05	certain	inherits from 9.8
9.807	S	H-05	certain	inherits from 9.806
9.808	S	H-05	certain	inherits from 9.8
9.81	S	H-05	certain	inherits from 9.8
9.818	S	H-05	certain	inherits from 9.8
9.819	S	H-05	certain	inherits from 9.8
9.823	S	H-05	certain	inherits from 9.8
9.82311	S	H-05	certain	inherits from 9.823
9.83	S	H-05	certain	inherits from 9.8
9.831	S	H-05	certain	inherits from 9.83
9.9	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
9.95	S	H-13	high	global=
9.951	S	H-05	certain	inherits from 9.95
9.954	S	H-05	certain	inherits from 9.95
9.9541	S	H-05	certain	inherits from 9.954
10	S	H-13	high	global=
10.01	S	H-05	certain	inherits from 10
10.2	S	H-13	high	global=
10.21	S	H-05	certain	inherits from 10.2
10.3	S	H-13	high	global=
10.99	P	H-14	moderate	package=REGISTRATION (DG)
10.9901	P	H-05	certain	inherits from 10.99
10.99901	P	H-05	certain	inherits from 10.99
11	S	H-13	high	global=
11.99	P	H-14	moderate	package=REGISTRATION (DG)
11.9901	P	H-05	certain	inherits from 11.99
11.99901	P	H-05	certain	inherits from 11.99
12	S	H-13	high	global=
12.01	S	H-05	certain	inherits from 12
12.11	I	H-11	high	global=
12.12	I	H-11	high	global=
13	S	H-13	high	global=
13.01	S	H-05	certain	inherits from 13
13.99	P	H-14	moderate	package=REGISTRATION (DG)
13.9901	P	H-05	certain	inherits from 13.99
13.99901	P	H-05	certain	inherits from 13.99
14.4	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
14.7	S	H-21	low	name contains S-pattern
14.71	S	H-21	low	name contains S-pattern
14.72	S	H-21	low	name contains S-pattern
14.72101	S	H-05	certain	inherits from 14.72
14.72201	S	H-05	certain	inherits from 14.72
14.8	S	H-21	low	name contains S-pattern
15	P	H-06	high	field=999999903 MFI PATIENT points to file 2
15.01101	P	H-05	certain	inherits from 15
15.013	P	H-05	certain	inherits from 15
15.02	P	H-05	certain	inherits from 15
15.02101	P	H-05	certain	inherits from 15
15.03	P	H-05	certain	inherits from 15
15.031	P	H-05	certain	inherits from 15.03
15.1	S	H-13	high	global=
15.111	S	H-05	certain	inherits from 15.1
15.112	S	H-05	certain	inherits from 15.1
15.12	S	H-05	certain	inherits from 15.1
15.121	S	H-05	certain	inherits from 15.12
15.2	S	H-13	high	global=
15.22	S	H-05	certain	inherits from 15.2
15.23	S	H-05	certain	inherits from 15.2
15.232	S	H-05	certain	inherits from 15.23
15.3	S	H-13	high	global=
15.31	S	H-05	certain	inherits from 15.3
15.4	S	H-39	moderate	orphan: 0 ptrs in, 0 ptrs out
15.41	S	H-05	certain	inherits(prop) from 15.4
15.411	S	H-05	certain	inherits(prop) from 15.41
15.42	S	H-05	certain	inherits(prop) from 15.4
15.421	S	H-05	certain	inherits(prop) from 15.42
15.43	S	H-05	certain	inherits(prop) from 15.4
17.9001	S	H-39	moderate	orphan: 0 ptrs in, 0 ptrs out
17.90011	S	H-05	certain	inherits(prop) from 17.9001
17.90012	S	H-05	certain	inherits(prop) from 17.9001
18.01	I	H-08	high	has ptr to file 4; no ptr to file 2
18.012	I	H-05	certain	inherits from 18.01
18.02	I	H-22	low	name contains I-pattern
18.022	I	H-05	certain	inherits from 18.02
18.04	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
18.05	K	H-20	low	name contains K-pattern
18.121	I	H-22	low	name contains I-pattern
19	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
19.01	I	H-05	certain	inherits from 19
19.02	I	H-05	certain	inherits from 19
19.021	I	H-05	certain	inherits from 19
19.03	I	H-05	certain	inherits from 19
19.04	I	H-05	certain	inherits from 19
19.05	I	H-05	certain	inherits from 19
19.06	I	H-05	certain	inherits from 19
19.081	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
19.1	S	H-13	high	global=
19.11	S	H-05	certain	inherits from 19.1
19.13	S	H-05	certain	inherits from 19.1
19.15	S	H-05	certain	inherits from 19.1
19.2	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
19.21	I	H-05	certain	inherits from 19.2
19.391	I	H-05	certain	inherits from 19
19.392	I	H-05	certain	inherits from 19
19.396	I	H-05	certain	inherits from 19
19.8	S	H-13	high	global=
19.81	S	H-05	certain	inherits from 19.8
20	S	H-13	high	global=
20.11	S	H-13	high	global=
21	S	H-13	high	global=
21.01	S	H-05	certain	inherits from 21
21.02	S	H-05	certain	inherits from 21
22	S	H-13	high	global=
22.01	S	H-05	certain	inherits from 22
23	S	H-13	high	global=
24	S	H-13	high	global=
25	S	H-13	high	global=
25.11	P	H-14	moderate	package=REGISTRATION (DG)
25.13	P	H-05	certain	inherits from 25.11
25.14	P	H-05	certain	inherits from 25.11
26	S	H-13	high	global=
26.11	P	H-14	moderate	package=REGISTRATION (DG)
26.111	P	H-05	certain	inherits from 26.11
26.112	P	H-05	certain	inherits from 26.11
26.12	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
26.122	I	H-05	certain	inherits from 26.12
26.13	P	H-06	high	field=.01 PATIENT NAME points to file 2
26.131	I	H-08	high	has ptr to file 4; no ptr to file 2
26.132	P	H-05	certain	inherits from 26.13
26.14	I	H-08	high	has ptr to file 4; no ptr to file 2
26.141	I	H-05	certain	inherits from 26.14
26.142	I	H-08	high	has ptr to file 4; no ptr to file 2
26.15	P	H-14	moderate	package=REGISTRATION (DG)
26.151	P	H-05	certain	inherits from 26.15
26.152	P	H-05	certain	inherits from 26.15
26.16	P	H-14	moderate	package=REGISTRATION (DG)
26.17	I	H-08	high	has ptr to file 4; no ptr to file 2
26.1707	I	H-05	certain	inherits from 26.17
26.18	P	H-14	moderate	package=REGISTRATION (DG)
26.19	I	H-08	high	has ptr to file 4; no ptr to file 2
26.1907	I	H-05	certain	inherits from 26.19
26.21	P	H-06	high	field=.01 PATIENT points to file 2
26.22	P	H-06	high	field=.03 PATIENT points to file 2
27.11	P	H-06	high	field=.02 PATIENT points to file 2
27.12	P	H-06	high	field=.01 PATIENT points to file 2
27.14	P	H-06	high	field=.03 PATIENT points to file 2
27.141	P	H-05	certain	inherits from 27.14
27.15	P	H-14	moderate	package=REGISTRATION (DG)
27.1525	P	H-05	certain	inherits from 27.15
27.16	P	H-14	moderate	package=REGISTRATION (DG)
27.17	P	H-14	moderate	package=REGISTRATION (DG)
27.174	P	H-05	certain	inherits from 27.17
27.176	P	H-05	certain	inherits from 27.17
27.18	I	H-11	high	global=
28.11	P	H-06	high	field=.01 PATIENT points to file 2
29.11	P	H-06	high	field=2 NAME points to file 2
30	S	H-13	high	global=
31	S	H-13	high	global=
31.01	S	H-05	certain	inherits from 31
33	P	H-06	high	field=.01 OTH PATIENT points to file 2
33.01	P	H-05	certain	inherits from 33
33.02	I	H-08	high	has ptr to file 4; no ptr to file 2
33.03	I	H-08	high	has ptr to file 4; no ptr to file 2
33.1	P	H-06	high	field=.01 PATIENT points to file 2
33.11	I	H-08	high	has ptr to file 4; no ptr to file 2
33.12	P	H-05	certain	inherits from 33.1
33.3	P	H-14	moderate	package=REGISTRATION (DG)
34	S	H-13	high	global=
35	S	H-13	high	global=
35.1	I	H-11	high	global=
35.2	I	H-11	high	global=
36	S	H-13	high	global=
36.011	S	H-05	certain	inherits from 36
36.013	S	H-05	certain	inherits from 36
36.015	S	H-05	certain	inherits from 36
36.016	S	H-05	certain	inherits from 36
36.017	S	H-05	certain	inherits from 36
36.03	S	H-05	certain	inherits from 36
37	S	H-13	high	global=
37.01	S	H-05	certain	inherits from 37
38.1	P	H-06	high	field=.01 PATIENT NAME points to file 2
38.11	P	H-05	certain	inherits from 38.1
38.5	P	H-06	high	field=.01 NAME points to file 2
38.51	P	H-05	certain	inherits from 38.5
38.6	P	H-14	moderate	package=REGISTRATION (DG)
38.61	P	H-05	certain	inherits from 38.6
39.1	S	H-13	high	global=
39.11	S	H-05	certain	inherits from 39.1
39.12	S	H-05	certain	inherits from 39.11
39.13	P	H-06	high	field=.01 CARDS IN HOLD points to file 2
39.14	P	H-05	certain	inherits from 39.13
39.2	S	H-13	high	global=
39.3	S	H-13	high	global=
39.31	S	H-05	certain	inherits from 39.3
39.4	P	H-06	high	field=.03 PATIENT points to file 2
40.1	P	H-06	high	field=.01 NAME points to file 2
40.11	P	H-05	certain	inherits from 40.1
40.15	P	H-06	high	field=.01 NAME points to file 2
40.152	P	H-05	certain	inherits from 40.15
40.16	P	H-05	certain	inherits from 40.15
40.6	P	H-14	moderate	package=SCHEDULING (SD)
40.7	S	H-13	high	global=
40.8	I	H-08	high	has ptr to file 4; no ptr to file 2
40.801	I	H-05	certain	inherits from 40.8
40.802	I	H-05	certain	inherits from 40.8
40.804	I	H-05	certain	inherits from 40.802
40.805	I	H-05	certain	inherits from 40.802
40.806	I	H-05	certain	inherits from 40.8
40.807	I	H-05	certain	inherits from 40.806
40.808	I	H-05	certain	inherits from 40.8
40.9	S	H-13	high	global=
41.1	P	H-06	high	field=.01 PATIENT points to file 2
41.2	P	H-06	high	field=.01 PATIENT points to file 2
41.21	P	H-05	certain	inherits from 41.2
41.41	P	H-06	high	field=.01 PATIENT points to file 2
41.42	P	H-06	high	field=.01 PATIENT points to file 2
41.43	P	H-06	high	field=1 PATIENT NAME points to file 2
41.434	P	H-05	certain	inherits from 41.43
41.9	I	H-11	high	global=
41.91	I	H-05	certain	inherits from 41.9
42	S	H-13	high	global=
42.01	S	H-05	certain	inherits from 42
42.05	S	H-05	certain	inherits from 42
42.07	S	H-05	certain	inherits from 42.05
42.08	S	H-05	certain	inherits from 42
42.09	S	H-05	certain	inherits from 42
42.4	S	H-13	high	global=
42.41	S	H-05	certain	inherits from 42.4
42.5	P	H-14	moderate	package=REGISTRATION (DG)
42.51	P	H-06	high	field=.01 PATIENT points to file 2
42.52	P	H-05	certain	inherits from 42.51
42.55	S	H-13	high	global=
42.56	S	H-05	certain	inherits from 42.55
42.6	P	H-14	moderate	package=REGISTRATION (DG)
42.6001	P	H-05	certain	inherits from 42.6
42.61	P	H-05	certain	inherits from 42.6001
42.7	P	H-14	moderate	package=REGISTRATION (DG)
42.701	P	H-05	certain	inherits from 42.7
42.702	P	H-05	certain	inherits from 42.701
42.8	P	H-14	moderate	package=REGISTRATION (DG)
42.801	P	H-05	certain	inherits from 42.8
43	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
43.01	I	H-05	certain	inherits from 43
43.02	I	H-05	certain	inherits from 43
43.03	I	H-05	certain	inherits from 43
43.04	I	H-05	certain	inherits from 43
43.05	I	H-05	certain	inherits from 43
43.06	I	H-05	certain	inherits from 43
43.07	I	H-05	certain	inherits from 43
43.077	I	H-05	certain	inherits from 43
43.08	I	H-05	certain	inherits from 43
43.091	I	H-05	certain	inherits from 43
43.1	I	H-11	high	global=
43.11	I	H-11	high	global=
43.12	I	H-05	certain	inherits from 43.1
43.4	S	H-13	high	global=
43.5	P	H-06	high	field=.05 PATIENT points to file 2
43.61	I	H-11	high	global=
43.7	I	H-11	high	global=
44	I	H-08	high	has ptr to file 4; no ptr to file 2
44.0001	I	H-05	certain	inherits from 44
44.0002	I	H-05	certain	inherits from 44
44.001	I	H-05	certain	inherits from 44
44.002	I	H-05	certain	inherits from 44
44.003	P	H-06	high	field=.01 PATIENT points to file 2
44.004	I	H-05	certain	inherits from 44.002
44.005	I	H-05	certain	inherits from 44
44.006	I	H-05	certain	inherits from 44
44.007	P	H-06	high	field=.01 PATIENT points to file 2
44.008	I	H-05	certain	inherits from 44
44.009	I	H-05	certain	inherits from 44
44.01	I	H-05	certain	inherits from 44
44.02	I	H-05	certain	inherits from 44
44.03	I	H-05	certain	inherits from 44
