file_number	piks	piks_method	piks_confidence	piks_evidence
634.5	P	H-06	high	field=.01 PATIENT NAME points to file 2
634.6	S	H-39	moderate	orphan: 0 ptrs in, 0 ptrs out
634.7	S	H-21	low	name contains S-pattern
660	I	H-08	high	has ptr to file 4; no ptr to file 2
660.028	I	H-05	certain	inherits from 660
660.1	I	H-08	high	has ptr to file 4; no ptr to file 2
660.11	I	H-05	certain	inherits from 660.1
661	I	H-15	moderate	package=PROSTHETICS (RMPR)
661.1	I	H-15	moderate	package=PROSTHETICS (RMPR)
661.11	I	H-08	high	has ptr to file 4; no ptr to file 2
661.12	I	H-05	certain	inherits from 661.1
661.14	I	H-05	certain	inherits from 661.1
661.18	I	H-05	certain	inherits from 661.1
661.2	I	H-08	high	has ptr to file 4; no ptr to file 2
661.3	I	H-08	high	has ptr to file 4; no ptr to file 2
661.31	I	H-05	certain	inherits from 661.3
661.312	I	H-05	certain	inherits from 661.31
661.4	I	H-08	high	has ptr to file 4; no ptr to file 2
661.41	I	H-08	high	has ptr to file 4; no ptr to file 2
661.5	I	H-08	high	has ptr to file 4; no ptr to file 2
661.6	I	H-08	high	has ptr to file 4; no ptr to file 2
661.63	I	H-08	high	has ptr to file 4; no ptr to file 2
661.69	I	H-15	moderate	package=PROSTHETICS (RMPR)
661.7	I	H-08	high	has ptr to file 4; no ptr to file 2
661.8	I	H-15	moderate	package=PROSTHETICS (RMPR)
661.9	I	H-08	high	has ptr to file 4; no ptr to file 2
662	I	H-15	moderate	package=PROSTHETICS (RMPR)
662.06	I	H-05	certain	inherits from 662
663	I	H-15	moderate	package=PROSTHETICS (RMPR)
663.2	I	H-15	moderate	package=PROSTHETICS (RMPR)
663.21	I	H-05	certain	inherits from 663.2
663.22	I	H-05	certain	inherits from 663.2
663.3	I	H-15	moderate	package=PROSTHETICS (RMPR)
663.4	I	H-08	high	has ptr to file 4; no ptr to file 2
664	I	H-08	high	has ptr to file 4; no ptr to file 2
664.02	I	H-05	certain	inherits from 664
664.1	I	H-08	high	has ptr to file 4; no ptr to file 2
664.11	I	H-05	certain	inherits from 664.1
664.111	I	H-05	certain	inherits from 664.1
664.12	I	H-05	certain	inherits from 664.1
664.129	I	H-05	certain	inherits from 664.1
664.1294	I	H-05	certain	inherits from 664.129
664.15	I	H-05	certain	inherits from 664.1
664.16	I	H-05	certain	inherits from 664.1
664.167	I	H-05	certain	inherits from 664.16
664.2	I	H-08	high	has ptr to file 4; no ptr to file 2
664.212	I	H-05	certain	inherits from 664.2
664.214	I	H-05	certain	inherits from 664.02
664.22	I	H-05	certain	inherits from 664.2
664.229	I	H-05	certain	inherits from 664.22
664.3	I	H-08	high	has ptr to file 4; no ptr to file 2
664.33	I	H-05	certain	inherits from 664.3
664.4	I	H-08	high	has ptr to file 4; no ptr to file 2
665	P	H-06	high	field=.01 NAME points to file 2
665.01	P	H-05	certain	inherits from 665
665.012	P	H-05	certain	inherits from 665
665.013	P	H-05	certain	inherits from 665
665.014	P	H-05	certain	inherits from 665
665.02	P	H-05	certain	inherits from 665
665.03	P	H-05	certain	inherits from 665
665.1	I	H-08	high	has ptr to file 4; no ptr to file 2
665.15	I	H-05	certain	inherits from 665.1
665.193	P	H-05	certain	inherits from 665
665.1933	P	H-05	certain	inherits from 665.193
665.194	P	H-05	certain	inherits from 665
665.2	I	H-15	moderate	package=PROSTHETICS (RMPR)
665.21	I	H-05	certain	inherits from 665.2
665.4	P	H-06	high	field=.01 NAME points to file 2
665.43	P	H-05	certain	inherits from 665.4
665.48	P	H-05	certain	inherits from 665.4
665.72319	P	H-06	high	field=.01 PATIENT points to file 2
665.723191	P	H-05	certain	inherits from 665.72319
665.7232	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
667	I	H-08	high	has ptr to file 4; no ptr to file 2
667.01	I	H-05	certain	inherits from 667
667.1	I	H-15	moderate	package=PROSTHETICS (RMPR)
667.2	I	H-15	moderate	package=PROSTHETICS (RMPR)
667.3	I	H-08	high	has ptr to file 4; no ptr to file 2
667.35	I	H-05	certain	inherits from 667.3
668	P	H-06	high	field=1 VETERAN points to file 2
668.011	P	H-05	certain	inherits from 668
668.012	P	H-05	certain	inherits from 668
668.021	P	H-05	certain	inherits from 668
668.04	P	H-05	certain	inherits from 668
668.07	P	H-05	certain	inherits from 668
668.111	P	H-05	certain	inherits from 668.011
668.81	P	H-05	certain	inherits from 668
668.82	P	H-05	certain	inherits from 668
669.1	I	H-15	moderate	package=PROSTHETICS (RMPR)
669.9	I	H-08	high	has ptr to file 4; no ptr to file 2
669.9001	I	H-05	certain	inherits from 669.9
669.9002	I	H-05	certain	inherits from 669.9
669.9003	I	H-05	certain	inherits from 669.9
669.922	I	H-05	certain	inherits from 669.9
669.961	I	H-05	certain	inherits from 669.9
669.962	I	H-05	certain	inherits from 669.9
669.965	I	H-05	certain	inherits from 669.9
669.972	I	H-05	certain	inherits from 669.9
669.974	I	H-05	certain	inherits from 669.9
690	P	H-06	high	field=.01 NAME points to file 2
690.015	P	H-05	certain	inherits from 690
690.07	P	H-05	certain	inherits from 690
690.08	P	H-05	certain	inherits from 690
690.1	S	H-21	low	name contains S-pattern
690.17	S	H-05	certain	inherits from 690.1
690.18	S	H-05	certain	inherits from 690.1
690.97	S	H-39	moderate	orphan: 0 ptrs in, 0 ptrs out
690.99	S	H-39	moderate	orphan: 0 ptrs in, 0 ptrs out
691	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
691.01	I	H-05	certain	inherits from 691
691.02	I	H-05	certain	inherits from 691
691.02005	I	H-05	certain	inherits from 691
691.03	I	H-05	certain	inherits from 691
691.04	I	H-05	certain	inherits from 691
691.05	I	H-05	certain	inherits from 691
691.06	I	H-05	certain	inherits from 691
691.07	I	H-05	certain	inherits from 691
691.08	I	H-05	certain	inherits from 691
691.09	I	H-05	certain	inherits from 691
691.1	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
691.11	I	H-05	certain	inherits from 691.1
691.12	I	H-05	certain	inherits from 691.1
691.12005	I	H-05	certain	inherits from 691.1
691.13	I	H-05	certain	inherits from 691.1
691.14	I	H-05	certain	inherits from 691.1
691.15	I	H-05	certain	inherits from 691
691.16	I	H-05	certain	inherits from 691.1
691.17	I	H-05	certain	inherits from 691.1
691.18	I	H-05	certain	inherits from 691.1
691.19	I	H-05	certain	inherits from 691
691.2	I	H-05	certain	inherits from 691.1
691.21	I	H-05	certain	inherits from 691.1
691.22	I	H-05	certain	inherits from 691.1
