file_number	file_name	global_root	parent_file	field_count	pointer_in	pointer_out	record_count	is_dinum	piks	piks_method	piks_confidence	piks_evidence	piks_secondary	volatility	sensitivity	portability	volume	subdomain	status
6009	VBECS FILE & FIELD LEVEL SECURITY	^VBEC(6009,		4	0	0	8	N											extracted
6009.01	DATA DICTIONARY SUB-FIELD	^VBEC(6009,	6009	4	0	0													extracted
6910	ENG INIT PARAMETERS	^DIC(6910,		20	0	5	6	N											extracted
6910.01	WORK ORDER MESSAGE TEXT SUB-FIELD	^DIC(6910,	6910	1	0	0													extracted
6910.012	ALTERNATE STATION NUMBER SUB-FIELD	^DIC(6910,	6910	1	0	0													extracted
6910.08	EQPT LABEL PRINT FIELD SUB-FIELD	^DIC(6910,	6910	2	0	0													extracted
6910.09	COMP LIST PRINT FIELD SUB-FIELD	^DIC(6910,	6910	2	0	0													extracted
6910.1	ENGINEERING COMPUTER PORT	^DIC(6910.1,		8	1	1	2	N											extracted
6910.2	ENG SOFTWARE OPTIONS	^ENG(6910.2,		4	0	0	13	N											extracted
6910.21	CHOICES SUB-FIELD	^ENG(6910.2,	6910.2	1	0	0													extracted
6910.3	DIVISION	^ENG(6910.3,		1	1	0	1	N											extracted
6910.5	ENG SYSTEM SOFTWARE CHANGES	^ENG("DOC",		7	0	0	187	N											extracted
6910.51	PROBLEM SUB-FIELD	^ENG("DOC",	6910.5	1	0	0													extracted
6910.52	SOLUTION SUB-FIELD	^ENG("DOC",	6910.5	1	0	0													extracted
6910.9	ENG DJ SCREEN	^ENG(6910.9,		10	0	0	16	N											extracted
6910.97	ENTRY DEFINITIONS SUB-FIELD	^ENG(6910.9,	6910.9	12	0	0													extracted
6911	EQUIPMENT CATEGORY	^ENG(6911,		5	1	1	603	N											extracted
6911.01	RESPONSIBLE SHOP SUB-FIELD	^ENG(6911,	6911	6	0	2													extracted
6911.02	SYNONYM SUB-FIELD	^ENG(6911,	6911	1	0	0													extracted
6911.13	FREQUENCY SUB-FIELD	^ENG(6911,	6911.01	6	0	1													extracted
6912	MANUFACTURER LIST FILE	^ENG("MFG",		10	4	0	5178	N											extracted
6912.01	PSEUDONYM SUB-FIELD	^ENG("MFG",	6912	1	0	0													extracted
6913	OWNER/DEPT	^ENG("DPT",		4	0	1	64	N											extracted
6914	EQUIPMENT INV.	^ENG(6914,		90	11	26	1	N											extracted
6914.01	COMMENTS SUB-FIELD	^ENG(6914,	6914	1	0	0													extracted
6914.02	EQUIPMENT HISTORY SUB-FIELD	^ENG(6914,	6914	10	0	0													extracted
6914.03	SPEX SUB-FIELD	^ENG(6914,	6914	1	0	0													extracted
